Date,Los Angeles
1/31/2000,217845
2/29/2000,217955
3/31/2000,218949
4/30/2000,220752
5/31/2000,222995
6/30/2000,225043
7/31/2000,227147
8/31/2000,229529
9/30/2000,231690
10/31/2000,233440
11/30/2000,235121
12/31/2000,236813
1/31/2001,238012
2/28/2001,239120
3/31/2001,240564
4/30/2001,242822
5/31/2001,245072
6/30/2001,247396
7/31/2001,249803
8/31/2001,252474
9/30/2001,254786
10/31/2001,257254
11/30/2001,259408
12/31/2001,261801
1/31/2002,263571
2/28/2002,265649
3/31/2002,268261
4/30/2002,271696
5/31/2002,275470
6/30/2002,279149
7/31/2002,283936
8/31/2002,289046
9/30/2002,294529
10/31/2002,299412
11/30/2002,304275
12/31/2002,308900
1/31/2003,312525
2/28/2003,315713
3/31/2003,319538
4/30/2003,323558
5/31/2003,328757
6/30/2003,332800
7/31/2003,338827
8/31/2003,345073
9/30/2003,352091
10/31/2003,357301
11/30/2003,362353
12/31/2003,367812
1/31/2004,374290
2/29/2004,380825
3/31/2004,387572
4/30/2004,396138
5/31/2004,406942
6/30/2004,417517
7/31/2004,427001
8/31/2004,435687
9/30/2004,446135
10/31/2004,456103
11/30/2004,462849
12/31/2004,468535
1/31/2005,472901
2/28/2005,480390
3/31/2005,487307
4/30/2005,495056
5/31/2005,501365
6/30/2005,509115
7/31/2005,517771
8/31/2005,527281
9/30/2005,536606
10/31/2005,547166
11/30/2005,554555
12/31/2005,561055
1/31/2006,566681
2/28/2006,571666
3/31/2006,577159
4/30/2006,580931
5/31/2006,586856
6/30/2006,591386
7/31/2006,594333
8/31/2006,596205
9/30/2006,594478
10/31/2006,594113
11/30/2006,593930
12/31/2006,595893
1/31/2007,596482
2/28/2007,596228
3/31/2007,594664
4/30/2007,594155
5/31/2007,591498
6/30/2007,588814
7/31/2007,583763
8/31/2007,578758
9/30/2007,573157
10/31/2007,566392
11/30/2007,560468
12/31/2007,554158
1/31/2008,550070
2/29/2008,544018
3/31/2008,534238
4/30/2008,520449
5/31/2008,505164
6/30/2008,491481
7/31/2008,477731
8/31/2008,465540
9/30/2008,456420
10/31/2008,448804
11/30/2008,441072
12/31/2008,430300
1/31/2009,422783
2/28/2009,417949
3/31/2009,415424
4/30/2009,412003
5/31/2009,408793
6/30/2009,404381
7/31/2009,401269
8/31/2009,399591
9/30/2009,399149
10/31/2009,399016
11/30/2009,400621
12/31/2009,405267
1/31/2010,407384
2/28/2010,406946
3/31/2010,407844
4/30/2010,410262
5/31/2010,414589
6/30/2010,413233
7/31/2010,411214
8/31/2010,406151
9/30/2010,401952
10/31/2010,397878
11/30/2010,394364
12/31/2010,393501
1/31/2011,392864
2/28/2011,393555
3/31/2011,391936
4/30/2011,390808
5/31/2011,386235
6/30/2011,385543
7/31/2011,384089
8/31/2011,381776
9/30/2011,377166
10/31/2011,372693
11/30/2011,372078
12/31/2011,371766
1/31/2012,371510
2/29/2012,371234
3/31/2012,370924
4/30/2012,371526
5/31/2012,372431
6/30/2012,374243
7/31/2012,376264
8/31/2012,377523
9/30/2012,378820
10/31/2012,382013
11/30/2012,385819
12/31/2012,392278
1/31/2013,397391
2/28/2013,405654
3/31/2013,413529
4/30/2013,423036
5/31/2013,430557
6/30/2013,438620
7/31/2013,446344
8/31/2013,455244
9/30/2013,462221
10/31/2013,467316
11/30/2013,472059
12/31/2013,475737
1/31/2014,481173
2/28/2014,483242
3/31/2014,485518
4/30/2014,485026
5/31/2014,486341
6/30/2014,487008
7/31/2014,488322
8/31/2014,487053
9/30/2014,486337
10/31/2014,487104
11/30/2014,490097
12/31/2014,493700
1/31/2015,498366
2/28/2015,503203
3/31/2015,507172
4/30/2015,507761
5/31/2015,510033
6/30/2015,512219
7/31/2015,512433
8/31/2015,512690
9/30/2015,513621
10/31/2015,518210
11/30/2015,522004
12/31/2015,527559
1/31/2016,531204
2/29/2016,535117
3/31/2016,536868
4/30/2016,541317
5/31/2016,544559
6/30/2016,548381
7/31/2016,547721
8/31/2016,548974
9/30/2016,551613
10/31/2016,557523
11/30/2016,560962
12/31/2016,563378
1/31/2017,567167
2/28/2017,570518
3/31/2017,573394
4/30/2017,574922
5/31/2017,578283
6/30/2017,581943
7/31/2017,583641
8/31/2017,585865
9/30/2017,588421
10/31/2017,593407
11/30/2017,599634
12/31/2017,604763
1/31/2018,610066
2/28/2018,615855
3/31/2018,621669
4/30/2018,626231
5/31/2018,628225
6/30/2018,630663
7/31/2018,631179
8/31/2018,632217
9/30/2018,633387
10/31/2018,636856
11/30/2018,639179
12/31/2018,638903
1/31/2019,638325
2/28/2019,636141
3/31/2019,634298
4/30/2019,633842
5/31/2019,634716
6/30/2019,636519
7/31/2019,634436
8/31/2019,634394
9/30/2019,635671
10/31/2019,640404
11/30/2019,643150
12/31/2019,646371
1/31/2020,649513
2/29/2020,656125
3/31/2020,662990
4/30/2020,668561
5/31/2020,666369
6/30/2020,663616
7/31/2020,666210
8/31/2020,675344
9/30/2020,686558
10/31/2020,696609
11/30/2020,704388
12/31/2020,709857
1/31/2021,713682
2/28/2021,720731
3/31/2021,727776
4/30/2021,738259
5/31/2021,752264
