Dates,Fresno County
1/31/2000,121479
2/29/2000,121643
3/31/2000,120205
4/30/2000,119253
5/31/2000,118167
6/30/2000,118735
7/31/2000,119071
8/31/2000,119631
9/30/2000,120118
10/31/2000,120715
11/30/2000,121242
12/31/2000,121883
1/31/2001,122225
2/28/2001,122662
3/31/2001,123137
4/30/2001,124025
5/31/2001,125136
6/30/2001,126571
7/31/2001,128124
8/31/2001,129366
9/30/2001,130564
10/31/2001,131780
11/30/2001,133134
12/31/2001,134151
1/31/2002,134829
2/28/2002,135660
3/31/2002,136748
4/30/2002,138155
5/31/2002,139731
6/30/2002,142056
7/31/2002,144531
8/31/2002,147190
9/30/2002,149561
10/31/2002,152300
11/30/2002,154795
12/31/2002,157393
1/31/2003,159374
2/28/2003,161117
3/31/2003,162967
4/30/2003,166458
5/31/2003,170232
6/30/2003,173751
7/31/2003,176386
8/31/2003,179844
9/30/2003,183402
10/31/2003,186991
11/30/2003,190271
12/31/2003,193297
1/31/2004,195583
2/29/2004,198036
3/31/2004,201520
4/30/2004,206019
5/31/2004,211157
6/30/2004,215625
7/31/2004,220602
8/31/2004,225654
9/30/2004,230925
10/31/2004,235036
11/30/2004,239388
12/31/2004,243393
1/31/2005,248163
2/28/2005,252189
3/31/2005,257723
4/30/2005,264408
5/31/2005,270772
6/30/2005,276473
7/31/2005,281721
8/31/2005,288254
9/30/2005,293390
10/31/2005,298607
11/30/2005,302840
12/31/2005,308567
1/31/2006,312086
2/28/2006,314196
3/31/2006,316878
4/30/2006,319347
5/31/2006,322036
6/30/2006,323941
7/31/2006,325047
8/31/2006,325092
9/30/2006,324116
10/31/2006,322723
11/30/2006,321109
12/31/2006,319607
1/31/2007,319127
2/28/2007,319265
3/31/2007,317108
4/30/2007,315149
5/31/2007,311306
6/30/2007,308822
7/31/2007,305393
8/31/2007,303366
9/30/2007,299349
10/31/2007,295527
11/30/2007,289183
12/31/2007,283289
1/31/2008,278538
2/29/2008,273271
3/31/2008,267834
4/30/2008,260001
5/31/2008,256360
6/30/2008,251831
7/31/2008,245954
8/31/2008,236353
9/30/2008,226828
10/31/2008,219557
11/30/2008,213959
12/31/2008,208908
1/31/2009,203437
2/28/2009,199983
3/31/2009,197369
4/30/2009,194503
5/31/2009,189855
6/30/2009,185303
7/31/2009,182517
8/31/2009,180800
9/30/2009,179749
10/31/2009,178701
11/30/2009,178395
12/31/2009,178966
1/31/2010,180442
2/28/2010,181767
3/31/2010,183119
4/30/2010,182928
5/31/2010,182317
6/30/2010,181206
7/31/2010,178384
8/31/2010,175034
9/30/2010,171808
10/31/2010,171274
11/30/2010,172024
12/31/2010,171407
1/31/2011,168596
2/28/2011,164574
3/31/2011,161496
4/30/2011,159498
5/31/2011,157432
6/30/2011,156115
7/31/2011,154949
8/31/2011,153341
9/30/2011,152471
10/31/2011,151296
11/30/2011,151116
12/31/2011,149911
1/31/2012,149855
2/29/2012,150848
3/31/2012,151938
4/30/2012,153706
5/31/2012,154763
6/30/2012,155362
7/31/2012,156146
8/31/2012,157422
9/30/2012,159399
10/31/2012,161091
11/30/2012,162805
12/31/2012,164758
1/31/2013,166196
2/28/2013,168008
3/31/2013,169636
4/30/2013,172120
5/31/2013,174996
6/30/2013,178271
7/31/2013,180539
8/31/2013,182976
9/30/2013,185701
10/31/2013,189276
11/30/2013,191669
12/31/2013,193512
1/31/2014,196411
2/28/2014,198557
3/31/2014,200859
4/30/2014,201304
5/31/2014,202737
6/30/2014,203099
7/31/2014,201875
8/31/2014,201570
9/30/2014,201743
10/31/2014,203380
11/30/2014,204063
12/31/2014,204772
1/31/2015,205548
2/28/2015,206190
3/31/2015,205823
4/30/2015,206358
5/31/2015,206811
6/30/2015,208284
7/31/2015,208805
8/31/2015,209758
9/30/2015,210921
10/31/2015,212012
11/30/2015,213287
12/31/2015,215008
1/31/2016,216466
2/29/2016,217210
3/31/2016,217519
4/30/2016,218142
5/31/2016,218726
6/30/2016,219723
7/31/2016,219900
8/31/2016,221072
9/30/2016,222582
10/31/2016,225199
11/30/2016,226896
12/31/2016,228610
1/31/2017,229602
2/28/2017,231414
3/31/2017,232874
4/30/2017,234159
5/31/2017,234739
6/30/2017,235659
7/31/2017,237875
8/31/2017,239896
9/30/2017,241198
10/31/2017,242570
11/30/2017,243698
12/31/2017,245417
1/31/2018,247559
2/28/2018,249828
3/31/2018,250975
4/30/2018,252264
5/31/2018,255036
6/30/2018,257756
7/31/2018,259999
8/31/2018,260299
9/30/2018,260783
10/31/2018,261188
11/30/2018,262624
12/31/2018,263760
1/31/2019,264451
2/28/2019,265302
3/31/2019,266873
4/30/2019,267499
5/31/2019,267181
6/30/2019,267200
7/31/2019,268413
8/31/2019,270064
9/30/2019,270624
10/31/2019,271373
11/30/2019,271670
12/31/2019,272185
1/31/2020,272334
2/29/2020,273029
3/31/2020,275166
4/30/2020,277511
5/31/2020,278737
6/30/2020,278194
7/31/2020,280830
8/31/2020,285018
9/30/2020,290561
10/31/2020,293297
11/30/2020,296294
12/31/2020,300019
1/31/2021,303679
2/28/2021,307137
3/31/2021,311687
4/30/2021,317208
5/31/2021,324577
6/30/2021,332236
7/31/2021,341602
8/31/2021,349915
9/30/2021,356895
10/31/2021,359906
11/30/2021,362668
12/31/2021,364715
1/31/2022,370204
2/28/2022,375898
3/31/2022,381601
4/30/2022,386924
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
