Dates,Kern County
1/31/2000,109446
2/29/2000,109484
3/31/2000,108163
4/30/2000,107177
5/31/2000,106343
6/30/2000,106880
7/31/2000,107250
8/31/2000,107539
9/30/2000,108008
10/31/2000,108490
11/30/2000,108842
12/31/2000,109129
1/31/2001,109311
2/28/2001,109705
3/31/2001,110218
4/30/2001,110860
5/31/2001,111744
6/30/2001,112530
7/31/2001,113194
8/31/2001,113697
9/30/2001,114380
10/31/2001,115211
11/30/2001,115913
12/31/2001,116422
1/31/2002,116854
2/28/2002,117473
3/31/2002,118227
4/30/2002,119038
5/31/2002,119743
6/30/2002,120579
7/31/2002,121720
8/31/2002,123311
9/30/2002,125003
10/31/2002,126828
11/30/2002,128243
12/31/2002,129673
1/31/2003,130710
2/28/2003,131876
3/31/2003,133299
4/30/2003,135288
5/31/2003,137441
6/30/2003,140003
7/31/2003,141957
8/31/2003,144172
9/30/2003,146404
10/31/2003,148707
11/30/2003,150955
12/31/2003,152633
1/31/2004,154509
2/29/2004,156493
3/31/2004,158981
4/30/2004,161821
5/31/2004,165660
6/30/2004,169521
7/31/2004,174662
8/31/2004,180613
9/30/2004,186577
10/31/2004,
11/30/2004,199235
12/31/2004,203604
1/31/2005,205146
2/28/2005,208945
3/31/2005,213332
4/30/2005,218763
5/31/2005,225083
6/30/2005,234477
7/31/2005,243284
8/31/2005,249530
9/30/2005,253609
10/31/2005,259495
11/30/2005,265208
12/31/2005,269680
1/31/2006,269993
2/28/2006,271151
3/31/2006,275230
4/30/2006,280186
5/31/2006,286151
6/30/2006,287430
7/31/2006,291371
8/31/2006,293299
9/30/2006,295542
10/31/2006,294886
11/30/2006,295062
12/31/2006,295177
1/31/2007,295664
2/28/2007,294245
3/31/2007,293267
4/30/2007,292395
5/31/2007,291164
6/30/2007,289182
7/31/2007,284165
8/31/2007,279536
9/30/2007,274364
10/31/2007,270505
11/30/2007,265884
12/31/2007,260964
1/31/2008,255757
2/29/2008,251250
3/31/2008,244469
4/30/2008,236493
5/31/2008,228565
6/30/2008,220820
7/31/2008,213688
8/31/2008,206463
9/30/2008,200402
10/31/2008,193838
11/30/2008,187090
12/31/2008,180801
1/31/2009,175439
2/28/2009,171098
3/31/2009,166711
4/30/2009,162649
5/31/2009,158357
6/30/2009,155592
7/31/2009,153859
8/31/2009,151744
9/30/2009,149099
10/31/2009,146105
11/30/2009,145460
