Dates,Monterey County
1/31/2000,269217
2/29/2000,270290
3/31/2000,272052
4/30/2000,275896
5/31/2000,280409
6/30/2000,285421
7/31/2000,290544
8/31/2000,296105
9/30/2000,301952
10/31/2000,307562
11/30/2000,313821
12/31/2000,320179
1/31/2001,326589
2/28/2001,332299
3/31/2001,337886
4/30/2001,343895
5/31/2001,349462
6/30/2001,354635
7/31/2001,359727
8/31/2001,364961
9/30/2001,370614
10/31/2001,375249
11/30/2001,379935
12/31/2001,383483
1/31/2002,386488
2/28/2002,388758
3/31/2002,390508
4/30/2002,392603
5/31/2002,394261
6/30/2002,395931
7/31/2002,397358
8/31/2002,398873
9/30/2002,400866
10/31/2002,403198
11/30/2002,406299
12/31/2002,410546
1/31/2003,414995
2/28/2003,419041
3/31/2003,422896
4/30/2003,427324
5/31/2003,432699
6/30/2003,437676
7/31/2003,442544
8/31/2003,447602
9/30/2003,452756
10/31/2003,458284
11/30/2003,464177
12/31/2003,470755
1/31/2004,476251
2/29/2004,481788
3/31/2004,487262
4/30/2004,495607
5/31/2004,506017
6/30/2004,517017
7/31/2004,527604
8/31/2004,537213
9/30/2004,548901
10/31/2004,561594
11/30/2004,574596
12/31/2004,584821
1/31/2005,595998
2/28/2005,606604
3/31/2005,621150
4/30/2005,633710
5/31/2005,645799
6/30/2005,656174
7/31/2005,668055
8/31/2005,680450
9/30/2005,692812
10/31/2005,704066
11/30/2005,713569
12/31/2005,715098
1/31/2006,719945
2/28/2006,725813
3/31/2006,732465
4/30/2006,734708
5/31/2006,735091
6/30/2006,736821
7/31/2006,737626
8/31/2006,735659
9/30/2006,730922
10/31/2006,725206
11/30/2006,719840
12/31/2006,713075
1/31/2007,709858
2/28/2007,707227
3/31/2007,706987
4/30/2007,699121
5/31/2007,690124
6/30/2007,683650
7/31/2007,677202
8/31/2007,665008
9/30/2007,651092
10/31/2007,638267
11/30/2007,628268
12/31/2007,609669
1/31/2008,594999
2/29/2008,575120
3/31/2008,559660
4/30/2008,543611
5/31/2008,530827
6/30/2008,520256
7/31/2008,501905
8/31/2008,484954
9/30/2008,466415
10/31/2008,448946
11/30/2008,433192
12/31/2008,420151
1/31/2009,406120
2/28/2009,393580
3/31/2009,381839
4/30/2009,372331
5/31/2009,361223
6/30/2009,350906
7/31/2009,342403
8/31/2009,338516
9/30/2009,333598
10/31/2009,333624
11/30/2009,339788
12/31/2009,343718
1/31/2010,345871
2/28/2010,341367
3/31/2010,345649
4/30/2010,347409
5/31/2010,351920
6/30/2010,354298
7/31/2010,358241
8/31/2010,358083
9/30/2010,354062
10/31/2010,347225
11/30/2010,340957
12/31/2010,337772
1/31/2011,335011
2/28/2011,332099
3/31/2011,328088
4/30/2011,327401
5/31/2011,327133
6/30/2011,325832
7/31/2011,323553
8/31/2011,321298
9/30/2011,321433
10/31/2011,318891
11/30/2011,316657
12/31/2011,313461
1/31/2012,314543
2/29/2012,315131
3/31/2012,315161
4/30/2012,313679
5/31/2012,315486
6/30/2012,316905
7/31/2012,321011
8/31/2012,323762
9/30/2012,326179
10/31/2012,328549
11/30/2012,330937
12/31/2012,338848
1/31/2013,342743
2/28/2013,347541
3/31/2013,350634
4/30/2013,358128
5/31/2013,364295
6/30/2013,369421
7/31/2013,374607
8/31/2013,381613
