Dates,San Joaquin County
1/31/2000,166188
2/29/2000,165106
3/31/2000,165181
4/30/2000,165407
5/31/2000,166873
6/30/2000,168501
7/31/2000,170746
8/31/2000,173828
9/30/2000,177359
10/31/2000,181109
11/30/2000,184080
12/31/2000,186687
1/31/2001,188989
2/28/2001,191927
3/31/2001,195476
4/30/2001,199350
5/31/2001,202950
6/30/2001,206624
7/31/2001,209764
8/31/2001,212422
9/30/2001,215342
10/31/2001,218469
11/30/2001,222008
12/31/2001,225043
1/31/2002,227480
2/28/2002,229766
3/31/2002,231688
4/30/2002,233575
5/31/2002,235528
6/30/2002,237124
7/31/2002,238826
8/31/2002,240242
9/30/2002,241590
10/31/2002,243306
11/30/2002,245921
12/31/2002,248612
1/31/2003,251302
2/28/2003,254263
3/31/2003,257551
4/30/2003,260662
5/31/2003,263283
6/30/2003,265422
7/31/2003,267769
8/31/2003,269960
9/30/2003,272945
10/31/2003,275879
11/30/2003,279095
12/31/2003,282006
1/31/2004,285131
2/29/2004,287817
3/31/2004,291476
4/30/2004,295798
5/31/2004,301629
6/30/2004,309163
7/31/2004,316741
8/31/2004,324127
9/30/2004,331486
10/31/2004,338834
11/30/2004,346228
12/31/2004,352858
1/31/2005,359361
2/28/2005,368344
3/31/2005,377398
4/30/2005,388041
5/31/2005,396014
6/30/2005,404571
7/31/2005,412081
8/31/2005,421222
9/30/2005,429247
10/31/2005,435203
11/30/2005,439281
12/31/2005,443265
1/31/2006,446672
2/28/2006,448195
3/31/2006,450744
4/30/2006,453749
5/31/2006,456125
6/30/2006,457056
7/31/2006,458256
8/31/2006,459001
9/30/2006,457436
10/31/2006,453576
11/30/2006,449787
12/31/2006,445474
1/31/2007,442722
2/28/2007,438972
3/31/2007,435167
4/30/2007,430371
5/31/2007,426635
6/30/2007,418093
7/31/2007,407981
8/31/2007,395256
9/30/2007,383952
10/31/2007,373465
11/30/2007,358441
12/31/2007,345341
1/31/2008,330319
2/29/2008,317434
3/31/2008,302440
4/30/2008,289118
5/31/2008,273726
6/30/2008,259783
7/31/2008,244602
8/31/2008,234271
9/30/2008,225244
10/31/2008,216522
11/30/2008,209227
12/31/2008,202407
1/31/2009,197208
2/28/2009,191934
3/31/2009,186937
4/30/2009,183152
5/31/2009,182611
6/30/2009,182382
7/31/2009,180697
8/31/2009,178910
9/30/2009,175089
10/31/2009,175404
11/30/2009,175852
12/31/2009,180736
1/31/2010,184440
2/28/2010,186503
3/31/2010,186375
4/30/2010,183844
5/31/2010,181471
6/30/2010,180832
7/31/2010,181334
8/31/2010,182304
9/30/2010,184276
10/31/2010,184483
11/30/2010,184735
12/31/2010,181380
1/31/2011,179057
2/28/2011,176449
3/31/2011,175349
4/30/2011,174865
5/31/2011,173430
6/30/2011,170910
7/31/2011,169517
8/31/2011,167416
9/30/2011,166339
10/31/2011,164139
11/30/2011,163084
12/31/2011,162051
1/31/2012,162416
2/29/2012,163670
3/31/2012,165090
4/30/2012,166166
5/31/2012,166368
6/30/2012,166951
7/31/2012,167555
8/31/2012,169277
9/30/2012,170756
10/31/2012,172941
11/30/2012,176049
12/31/2012,179913
1/31/2013,182718
2/28/2013,184906
3/31/2013,188549
4/30/2013,192473
5/31/2013,197613
6/30/2013,203108
7/31/2013,210539
8/31/2013,217656
9/30/2013,224793
10/31/2013,230843
11/30/2013,236085
12/31/2013,240866
1/31/2014,246468
2/28/2014,253258
3/31/2014,257645
4/30/2014,261564
5/31/2014,261721
6/30/2014,262590
7/31/2014,260898
8/31/2014,261367
9/30/2014,261811
10/31/2014,263701
11/30/2014,264374
12/31/2014,264790
1/31/2015,265176
2/28/2015,267219
3/31/2015,269053
4/30/2015,270080
5/31/2015,271194
6/30/2015,271953
7/31/2015,273467
8/31/2015,275031
9/30/2015,278329
10/31/2015,281791
11/30/2015,284236
12/31/2015,285964
1/31/2016,287045
2/29/2016,287884
3/31/2016,290715
4/30/2016,294309
5/31/2016,299244
6/30/2016,301132
7/31/2016,302084
8/31/2016,302161
9/30/2016,303248
10/31/2016,305925
11/30/2016,309232
12/31/2016,312203
1/31/2017,314442
2/28/2017,317597
3/31/2017,320714
4/30/2017,323148
5/31/2017,324062
6/30/2017,326790
7/31/2017,329854
8/31/2017,332971
9/30/2017,335323
10/31/2017,337678
11/30/2017,338674
12/31/2017,341077
1/31/2018,344404
2/28/2018,349198
3/31/2018,351221
4/30/2018,355383
5/31/2018,359974
6/30/2018,364279
7/31/2018,364688
8/31/2018,364608
9/30/2018,365174
10/31/2018,368599
11/30/2018,370892
12/31/2018,371061
1/31/2019,370731
2/28/2019,370004
3/31/2019,372290
4/30/2019,372865
5/31/2019,374291
6/30/2019,374781
7/31/2019,375180
8/31/2019,375546
9/30/2019,375185
10/31/2019,375178
11/30/2019,375510
12/31/2019,377430
1/31/2020,378080
2/29/2020,381061
3/31/2020,383255
4/30/2020,386772
5/31/2020,387327
6/30/2020,385576
7/31/2020,387499
8/31/2020,390518
9/30/2020,398410
10/31/2020,404054
11/30/2020,411449
12/31/2020,418557
1/31/2021,427286
2/28/2021,438001
3/31/2021,446237
4/30/2021,452669
5/31/2021,462372
6/30/2021,475994
7/31/2021,495269
8/31/2021,509933
9/30/2021,521155
10/31/2021,525102
11/30/2021,527643
12/31/2021,527968
1/31/2022,531647
2/28/2022,536686
3/31/2022,550095
4/30/2022,562812
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
