Dates,Sonoma County
1/31/2000,276706
2/29/2000,281799
3/31/2000,284108
4/30/2000,289529
5/31/2000,292721
6/30/2000,297043
7/31/2000,301900
8/31/2000,307988
9/30/2000,314330
10/31/2000,321847
11/30/2000,328340
12/31/2000,335393
1/31/2001,339673
2/28/2001,344730
3/31/2001,351407
4/30/2001,358385
5/31/2001,364640
6/30/2001,368883
7/31/2001,373769
8/31/2001,378656
9/30/2001,383010
10/31/2001,385900
11/30/2001,389210
12/31/2001,391561
1/31/2002,394069
2/28/2002,394790
3/31/2002,394993
4/30/2002,396110
5/31/2002,397598
6/30/2002,399564
7/31/2002,401661
8/31/2002,404510
9/30/2002,407565
10/31/2002,410759
11/30/2002,414733
12/31/2002,419043
1/31/2003,422806
2/28/2003,425931
3/31/2003,429829
4/30/2003,434943
5/31/2003,439993
6/30/2003,443593
7/31/2003,447613
8/31/2003,451542
9/30/2003,456746
10/31/2003,460690
11/30/2003,466027
12/31/2003,470351
1/31/2004,476036
2/29/2004,480516
3/31/2004,487262
4/30/2004,494002
5/31/2004,502923
6/30/2004,511620
7/31/2004,521959
8/31/2004,530278
9/30/2004,537311
10/31/2004,542279
11/30/2004,550235
12/31/2004,559856
1/31/2005,570243
2/28/2005,577915
3/31/2005,584336
4/30/2005,592879
5/31/2005,602370
6/30/2005,612916
7/31/2005,620981
8/31/2005,627329
9/30/2005,632893
10/31/2005,638411
11/30/2005,643984
12/31/2005,647933
1/31/2006,648254
2/28/2006,648774
3/31/2006,649411
4/30/2006,652000
5/31/2006,652697
6/30/2006,650915
7/31/2006,648209
8/31/2006,643874
9/30/2006,639313
10/31/2006,633327
11/30/2006,627678
12/31/2006,622531
1/31/2007,617880
2/28/2007,613147
3/31/2007,610521
4/30/2007,606735
5/31/2007,604681
6/30/2007,602531
7/31/2007,598959
8/31/2007,593536
9/30/2007,585668
10/31/2007,580056
11/30/2007,576491
12/31/2007,566706
1/31/2008,561944
2/29/2008,552823
3/31/2008,544428
4/30/2008,531282
5/31/2008,519163
6/30/2008,509619
7/31/2008,497110
8/31/2008,484838
9/30/2008,474538
10/31/2008,465946
11/30/2008,454767
12/31/2008,446837
1/31/2009,436518
2/28/2009,428223
3/31/2009,420114
4/30/2009,414829
5/31/2009,414249
6/30/2009,412309
7/31/2009,411396
8/31/2009,409152
9/30/2009,406435
10/31/2009,403756
11/30/2009,403521
12/31/2009,405545
1/31/2010,408246
2/28/2010,410745
3/31/2010,411368
4/30/2010,412746
5/31/2010,410776
6/30/2010,409240
7/31/2010,406078
8/31/2010,401658
9/30/2010,397838
10/31/2010,394251
11/30/2010,393591
12/31/2010,392475
1/31/2011,390287
2/28/2011,387555
3/31/2011,384826
4/30/2011,382385
5/31/2011,378866
6/30/2011,373405
7/31/2011,369157
8/31/2011,363585
9/30/2011,359652
10/31/2011,355951
11/30/2011,353080
12/31/2011,349675
1/31/2012,347582
2/29/2012,347019
3/31/2012,347398
4/30/2012,348490
5/31/2012,352121
6/30/2012,356629
7/31/2012,360049
8/31/2012,360609
9/30/2012,361822
10/31/2012,366267
11/30/2012,373724
12/31/2012,382763
1/31/2013,388952
2/28/2013,395060
3/31/2013,401498
4/30/2013,410075
5/31/2013,417623
6/30/2013,425929
7/31/2013,432076
8/31/2013,442747
9/30/2013,451329
10/31/2013,458706
11/30/2013,464042
12/31/2013,468989
1/31/2014,475141
2/28/2014,482565
3/31/2014,491099
4/30/2014,495225
5/31/2014,496391
6/30/2014,496148
7/31/2014,499245
8/31/2014,499063
9/30/2014,499444
10/31/2014,501017
11/30/2014,506662
12/31/2014,510948
1/31/2015,515858
2/28/2015,515834
3/31/2015,516735
4/30/2015,522042
5/31/2015,528788
6/30/2015,534349
7/31/2015,534075
8/31/2015,536331
9/30/2015,539916
10/31/2015,545202
11/30/2015,548455
12/31/2015,554538
1/31/2016,556772
2/29/2016,563468
3/31/2016,567133
4/30/2016,571814
5/31/2016,570983
6/30/2016,572157
7/31/2016,574325
8/31/2016,576990
9/30/2016,579995
10/31/2016,584985
11/30/2016,590303
12/31/2016,592901
1/31/2017,599680
2/28/2017,603597
3/31/2017,607271
4/30/2017,607502
5/31/2017,611548
6/30/2017,615193
7/31/2017,614684
8/31/2017,617575
9/30/2017,621259
10/31/2017,628627
11/30/2017,634963
12/31/2017,640202
1/31/2018,645603
2/28/2018,656393
3/31/2018,665320
4/30/2018,673713
5/31/2018,674857
6/30/2018,677293
7/31/2018,681931
8/31/2018,684643
9/30/2018,685366
10/31/2018,679857
11/30/2018,673128
12/31/2018,667387
1/31/2019,661164
2/28/2019,655133
3/31/2019,651084
4/30/2019,647928
5/31/2019,649354
6/30/2019,652917
7/31/2019,654945
8/31/2019,655012
9/30/2019,653445
10/31/2019,653417
11/30/2019,649855
12/31/2019,647991
1/31/2020,654581
2/29/2020,664079
3/31/2020,667990
4/30/2020,665033
5/31/2020,659806
6/30/2020,654862
7/31/2020,654753
8/31/2020,659005
9/30/2020,671122
10/31/2020,681902
11/30/2020,692865
12/31/2020,701206
1/31/2021,706739
2/28/2021,709533
3/31/2021,715406
4/30/2021,725606
5/31/2021,737241
6/30/2021,748228
7/31/2021,761576
8/31/2021,775604
9/30/2021,784565
10/31/2021,784876
11/30/2021,783016
12/31/2021,777986
1/31/2022,778514
2/28/2022,784929
3/31/2022,801455
4/30/2022,818383
