Dates,El Dorado County
1/31/2000,210100
2/29/2000,210531
3/31/2000,211231
4/30/2000,212906
5/31/2000,215124
6/30/2000,216399
7/31/2000,217709
8/31/2000,218874
9/30/2000,221823
10/31/2000,225259
11/30/2000,229150
12/31/2000,233064
1/31/2001,236165
2/28/2001,239802
3/31/2001,243836
4/30/2001,248674
5/31/2001,253795
6/30/2001,258690
7/31/2001,263415
8/31/2001,266763
9/30/2001,269884
10/31/2001,273200
11/30/2001,277020
12/31/2001,280090
1/31/2002,281766
2/28/2002,281847
3/31/2002,283050
4/30/2002,284854
5/31/2002,288364
6/30/2002,291527
7/31/2002,295116
8/31/2002,298729
9/30/2002,301766
10/31/2002,304744
11/30/2002,309079
12/31/2002,312952
1/31/2003,316227
2/28/2003,320704
3/31/2003,325515
4/30/2003,332432
5/31/2003,335972
6/30/2003,339998
7/31/2003,343227
8/31/2003,347302
9/30/2003,351201
10/31/2003,355064
11/30/2003,358710
12/31/2003,362407
1/31/2004,365345
2/29/2004,368152
3/31/2004,371478
4/30/2004,375500
5/31/2004,380420
6/30/2004,386850
7/31/2004,395053
8/31/2004,403967
9/30/2004,413182
10/31/2004,421434
11/30/2004,427685
12/31/2004,432639
1/31/2005,435505
2/28/2005,441047
3/31/2005,449132
4/30/2005,458648
5/31/2005,468992
6/30/2005,476844
7/31/2005,486301
8/31/2005,495831
9/30/2005,504263
10/31/2005,511965
11/30/2005,515742
12/31/2005,521770
1/31/2006,528563
2/28/2006,531811
3/31/2006,532644
4/30/2006,531648
5/31/2006,534293
6/30/2006,536634
7/31/2006,535177
8/31/2006,531312
9/30/2006,524716
10/31/2006,516436
11/30/2006,512822
12/31/2006,509295
1/31/2007,509676
2/28/2007,508891
3/31/2007,507945
4/30/2007,504723
5/31/2007,499658
6/30/2007,495162
7/31/2007,491170
8/31/2007,487142
9/30/2007,484576
10/31/2007,481026
11/30/2007,473436
12/31/2007,462830
1/31/2008,457286
2/29/2008,457709
3/31/2008,457763
4/30/2008,455733
5/31/2008,447440
6/30/2008,440688
7/31/2008,431489
8/31/2008,426672
9/30/2008,420647
10/31/2008,415281
11/30/2008,410211
12/31/2008,409313
1/31/2009,404927
2/28/2009,397328
3/31/2009,389084
4/30/2009,382042
5/31/2009,375737
6/30/2009,368551
7/31/2009,364193
8/31/2009,360875
9/30/2009,355300
10/31/2009,349836
11/30/2009,344284
12/31/2009,340162
1/31/2010,338147
2/28/2010,337611
3/31/2010,335752
4/30/2010,333494
5/31/2010,331918
6/30/2010,334223
7/31/2010,336020
8/31/2010,336024
9/30/2010,332567
10/31/2010,329045
11/30/2010,325425
12/31/2010,322168
1/31/2011,319051
2/28/2011,317487
3/31/2011,315879
4/30/2011,312998
5/31/2011,308866
6/30/2011,305688
7/31/2011,301635
8/31/2011,296493
9/30/2011,292226
10/31/2011,289495
11/30/2011,287828
12/31/2011,286970
1/31/2012,286364
2/29/2012,286031
3/31/2012,285079
4/30/2012,285397
5/31/2012,287470
6/30/2012,288305
7/31/2012,289184
8/31/2012,290455
9/30/2012,293444
10/31/2012,296127
11/30/2012,299323
12/31/2012,302575
1/31/2013,306532
2/28/2013,311448
3/31/2013,319328
4/30/2013,326722
5/31/2013,334493
6/30/2013,342907
7/31/2013,350150
8/31/2013,355596
9/30/2013,360669
10/31/2013,366657
11/30/2013,373124
12/31/2013,377343
1/31/2014,376741
2/28/2014,374574
3/31/2014,372311
4/30/2014,375468
5/31/2014,380376
6/30/2014,382207
7/31/2014,379435
8/31/2014,374988
9/30/2014,372745
10/31/2014,375941
11/30/2014,379892
12/31/2014,382683
1/31/2015,383631
2/28/2015,385913
3/31/2015,387847
4/30/2015,390863
5/31/2015,391174
6/30/2015,393387
7/31/2015,391999
8/31/2015,392675
9/30/2015,394182
10/31/2015,397066
11/30/2015,398498
12/31/2015,399219
1/31/2016,401382
2/29/2016,402701
3/31/2016,404510
4/30/2016,406040
5/31/2016,409795
6/30/2016,412815
7/31/2016,413696
8/31/2016,413415
9/30/2016,413582
10/31/2016,417813
11/30/2016,422584
12/31/2016,428816
1/31/2017,432318
2/28/2017,434702
3/31/2017,434971
4/30/2017,436229
5/31/2017,437965
6/30/2017,439458
7/31/2017,440331
8/31/2017,441656
9/30/2017,443869
10/31/2017,446667
11/30/2017,451089
12/31/2017,454796
1/31/2018,459059
2/28/2018,461513
3/31/2018,465406
4/30/2018,468938
5/31/2018,471232
6/30/2018,470861
7/31/2018,468303
8/31/2018,467824
9/30/2018,469194
10/31/2018,470381
11/30/2018,471634
12/31/2018,473921
1/31/2019,479413
2/28/2019,482321
3/31/2019,483243
4/30/2019,479707
5/31/2019,477794
6/30/2019,475890
7/31/2019,476514
8/31/2019,476604
9/30/2019,476262
10/31/2019,476656
11/30/2019,475749
12/31/2019,475002
1/31/2020,475122
2/29/2020,476175
3/31/2020,477315
4/30/2020,476701
5/31/2020,475185
6/30/2020,474513
7/31/2020,478309
8/31/2020,487657
9/30/2020,502295
10/31/2020,517164
11/30/2020,529787
12/31/2020,541312
1/31/2021,552518
2/28/2021,563376
3/31/2021,574263
4/30/2021,584531
5/31/2021,599925
6/30/2021,617476
7/31/2021,638997
8/31/2021,656837
9/30/2021,668726
10/31/2021,670806
11/30/2021,671976
12/31/2021,673158
1/31/2022,679932
2/28/2022,685298
3/31/2022,695867
4/30/2022,705908
