Dates,Madera County
1/31/2000,
2/29/2000,
3/31/2000,
4/30/2000,
5/31/2000,
6/30/2000,
7/31/2000,
8/31/2000,
9/30/2000,
10/31/2000,
11/30/2000,
12/31/2000,
1/31/2001,
2/28/2001,
3/31/2001,
4/30/2001,
5/31/2001,
6/30/2001,
7/31/2001,
8/31/2001,
9/30/2001,
10/31/2001,
11/30/2001,
12/31/2001,
1/31/2002,
2/28/2002,
3/31/2002,
4/30/2002,
5/31/2002,
6/30/2002,
7/31/2002,
8/31/2002,
9/30/2002,
10/31/2002,
11/30/2002,
12/31/2002,
1/31/2003,120239
2/28/2003,120822
3/31/2003,121807
4/30/2003,123967
5/31/2003,126661
6/30/2003,129307
7/31/2003,131681
8/31/2003,134068
9/30/2003,136987
10/31/2003,140299
11/30/2003,142803
12/31/2003,144697
1/31/2004,146264
2/29/2004,148886
3/31/2004,151488
4/30/2004,154157
5/31/2004,156820
6/30/2004,160147
7/31/2004,163553
8/31/2004,166640
9/30/2004,169430
10/31/2004,172580
11/30/2004,175766
12/31/2004,179918
1/31/2005,183780
2/28/2005,188144
3/31/2005,191805
4/30/2005,196012
5/31/2005,200254
6/30/2005,204966
7/31/2005,209896
8/31/2005,214840
9/30/2005,219595
10/31/2005,223549
11/30/2005,227361
12/31/2005,230803
1/31/2006,234116
2/28/2006,237807
3/31/2006,241400
4/30/2006,245080
5/31/2006,247817
6/30/2006,250694
7/31/2006,252952
8/31/2006,255475
9/30/2006,256258
10/31/2006,256306
11/30/2006,255176
12/31/2006,253729
1/31/2007,252604
2/28/2007,251818
3/31/2007,249997
4/30/2007,248178
5/31/2007,245091
6/30/2007,242952
7/31/2007,239719
8/31/2007,236429
9/30/2007,233211
10/31/2007,230009
11/30/2007,226679
12/31/2007,222802
1/31/2008,217056
2/29/2008,211014
3/31/2008,204586
4/30/2008,199826
5/31/2008,195753
6/30/2008,192288
7/31/2008,188669
8/31/2008,184771
9/30/2008,180036
10/31/2008,176086
11/30/2008,172433
12/31/2008,170171
1/31/2009,168132
2/28/2009,166240
3/31/2009,164486
4/30/2009,162804
5/31/2009,161388
6/30/2009,160376
7/31/2009,159547
8/31/2009,158852
9/30/2009,158084
10/31/2009,157467
11/30/2009,157027
12/31/2009,156744
1/31/2010,156798
2/28/2010,156895
3/31/2010,156888
4/30/2010,156469
5/31/2010,155818
6/30/2010,155167
7/31/2010,154481
8/31/2010,155481
9/30/2010,156392
10/31/2010,157347
11/30/2010,156634
12/31/2010,155994
1/31/2011,155599
2/28/2011,155292
3/31/2011,154685
4/30/2011,153802
5/31/2011,152875
6/30/2011,152150
7/31/2011,151603
8/31/2011,150997
9/30/2011,150668
10/31/2011,150339
11/30/2011,150348
12/31/2011,150381
1/31/2012,150539
2/29/2012,150783
3/31/2012,151123
4/30/2012,151469
5/31/2012,151909
6/30/2012,152419
7/31/2012,153177
8/31/2012,154386
9/30/2012,155839
10/31/2012,157446
11/30/2012,158991
12/31/2012,160585
1/31/2013,162557
2/28/2013,164776
3/31/2013,167449
4/30/2013,170131
5/31/2013,172800
6/30/2013,175422
7/31/2013,177832
8/31/2013,180309
9/30/2013,182989
10/31/2013,185790
11/30/2013,188527
12/31/2013,190884
1/31/2014,193551
2/28/2014,196108
3/31/2014,
4/30/2014,206207
5/31/2014,211543
6/30/2014,
7/31/2014,211935
8/31/2014,209611
9/30/2014,209127
10/31/2014,208896
11/30/2014,211520
12/31/2014,214231
1/31/2015,215436
2/28/2015,214202
3/31/2015,213326
4/30/2015,213037
5/31/2015,214005
6/30/2015,215414
7/31/2015,217530
8/31/2015,217987
9/30/2015,218037
10/31/2015,216701
11/30/2015,216476
12/31/2015,216659
1/31/2016,219456
2/29/2016,223061
3/31/2016,226297
4/30/2016,227136
5/31/2016,226575
6/30/2016,225764
7/31/2016,227118
8/31/2016,229194
9/30/2016,231583
10/31/2016,232432
11/30/2016,235115
12/31/2016,237255
1/31/2017,239047
2/28/2017,239922
3/31/2017,240986
4/30/2017,242705
5/31/2017,245458
6/30/2017,249361
7/31/2017,250582
8/31/2017,251147
9/30/2017,251077
10/31/2017,254591
11/30/2017,257730
12/31/2017,260501
1/31/2018,262229
2/28/2018,264752
3/31/2018,266816
4/30/2018,268586
5/31/2018,269445
6/30/2018,271296
7/31/2018,272390
8/31/2018,273160
9/30/2018,273591
10/31/2018,274818
11/30/2018,276050
12/31/2018,276442
1/31/2019,277023
2/28/2019,277251
3/31/2019,277016
4/30/2019,276699
5/31/2019,277598
6/30/2019,279150
7/31/2019,279880
8/31/2019,280582
9/30/2019,281937
10/31/2019,283500
11/30/2019,285425
12/31/2019,287811
1/31/2020,290854
2/29/2020,292966
3/31/2020,293728
4/30/2020,294303
5/31/2020,294735
6/30/2020,296606
7/31/2020,299080
8/31/2020,302341
9/30/2020,305877
10/31/2020,309491
11/30/2020,312187
12/31/2020,313279
1/31/2021,314308
2/28/2021,316758
3/31/2021,321814
4/30/2021,327694
5/31/2021,333475
6/30/2021,340190
7/31/2021,348990
8/31/2021,358588
9/30/2021,367056
10/31/2021,373244
11/30/2021,380173
12/31/2021,387301
1/31/2022,394651
2/28/2022,400997
3/31/2022,405916
4/30/2022,410765
