Dates,San Diego County
1/31/2000,229358
2/29/2000,230607
3/31/2000,231959
4/30/2000,234974
5/31/2000,237865
6/30/2000,241614
7/31/2000,245502
8/31/2000,249686
9/30/2000,253359
10/31/2000,256576
11/30/2000,259965
12/31/2000,262871
1/31/2001,265419
2/28/2001,268640
3/31/2001,272899
4/30/2001,278086
5/31/2001,282310
6/30/2001,285349
7/31/2001,287550
8/31/2001,289813
9/30/2001,292503
10/31/2001,295392
11/30/2001,298277
12/31/2001,300415
1/31/2002,302645
2/28/2002,304833
3/31/2002,307841
4/30/2002,311315
5/31/2002,315640
6/30/2002,320237
7/31/2002,325791
8/31/2002,331593
9/30/2002,337558
10/31/2002,343611
11/30/2002,349050
12/31/2002,355172
1/31/2003,360132
2/28/2003,365019
3/31/2003,370123
4/30/2003,375579
5/31/2003,381679
6/30/2003,386492
7/31/2003,392627
8/31/2003,397836
9/30/2003,404643
10/31/2003,410405
11/30/2003,416296
12/31/2003,417835
1/31/2004,422850
2/29/2004,430319
3/31/2004,440939
4/30/2004,449539
5/31/2004,458433
6/30/2004,473718
7/31/2004,487691
8/31/2004,500808
9/30/2004,510087
10/31/2004,519918
11/30/2004,527448
12/31/2004,534029
1/31/2005,537863
2/28/2005,541655
3/31/2005,548382
4/30/2005,556794
5/31/2005,565120
6/30/2005,567854
7/31/2005,568880
8/31/2005,570059
9/30/2005,571123
10/31/2005,571829
11/30/2005,571902
12/31/2005,571963
1/31/2006,573782
2/28/2006,573261
3/31/2006,573682
4/30/2006,572845
5/31/2006,574633
6/30/2006,573798
7/31/2006,570842
8/31/2006,566254
9/30/2006,562482
10/31/2006,559786
11/30/2006,558612
12/31/2006,556733
1/31/2007,555406
2/28/2007,553023
3/31/2007,547022
4/30/2007,541152
5/31/2007,534750
6/30/2007,530757
7/31/2007,525267
8/31/2007,521834
9/30/2007,516798
10/31/2007,512244
11/30/2007,505954
12/31/2007,501763
1/31/2008,495269
2/29/2008,487327
3/31/2008,478285
4/30/2008,471536
5/31/2008,463163
6/30/2008,454683
7/31/2008,444358
8/31/2008,434863
9/30/2008,423326
10/31/2008,413976
11/30/2008,405356
12/31/2008,399907
1/31/2009,394827
2/28/2009,392136
3/31/2009,390739
4/30/2009,385742
5/31/2009,382866
6/30/2009,376514
7/31/2009,375791
8/31/2009,372555
9/30/2009,374008
10/31/2009,374495
11/30/2009,378758
12/31/2009,382347
1/31/2010,385934
2/28/2010,387618
3/31/2010,389856
4/30/2010,393905
5/31/2010,394490
6/30/2010,394210
7/31/2010,391234
8/31/2010,389095
9/30/2010,385627
10/31/2010,381060
11/30/2010,377545
12/31/2010,376456
1/31/2011,375759
2/28/2011,374941
3/31/2011,372163
4/30/2011,370793
5/31/2011,369118
6/30/2011,368530
7/31/2011,366690
8/31/2011,362849
9/30/2011,359067
10/31/2011,356280
11/30/2011,355589
12/31/2011,354500
1/31/2012,355464
2/29/2012,356467
3/31/2012,357579
4/30/2012,357021
5/31/2012,357756
6/30/2012,360400
7/31/2012,363025
8/31/2012,365480
9/30/2012,367540
10/31/2012,370842
11/30/2012,374749
12/31/2012,382212
1/31/2013,388789
2/28/2013,395322
3/31/2013,401357
4/30/2013,408275
5/31/2013,415145
6/30/2013,423548
7/31/2013,432271
8/31/2013,440692
9/30/2013,444842
10/31/2013,447553
11/30/2013,450527
12/31/2013,454030
1/31/2014,460437
2/28/2014,468097
3/31/2014,469050
4/30/2014,467373
5/31/2014,463484
6/30/2014,463366
7/31/2014,463722
8/31/2014,461068
9/30/2014,461449
10/31/2014,462309
11/30/2014,466921
12/31/2014,468900
1/31/2015,469367
2/28/2015,470031
3/31/2015,474981
4/30/2015,478658
5/31/2015,482457
6/30/2015,482584
7/31/2015,481718
8/31/2015,482469
9/30/2015,484929
10/31/2015,489575
11/30/2015,493209
12/31/2015,498183
1/31/2016,506100
2/29/2016,509404
3/31/2016,508668
4/30/2016,508109
5/31/2016,509541
6/30/2016,512934
7/31/2016,511424
8/31/2016,513837
9/30/2016,516848
10/31/2016,523154
11/30/2016,526425
12/31/2016,529186
1/31/2017,529287
2/28/2017,532426
3/31/2017,536457
4/30/2017,541839
5/31/2017,547034
6/30/2017,550888
7/31/2017,552403
8/31/2017,553387
9/30/2017,555831
10/31/2017,561212
11/30/2017,564687
12/31/2017,568617
1/31/2018,574734
2/28/2018,581325
3/31/2018,585553
4/30/2018,585347
5/31/2018,584763
6/30/2018,585848
7/31/2018,587934
8/31/2018,591050
9/30/2018,592243
10/31/2018,594533
11/30/2018,595471
12/31/2018,595120
1/31/2019,591342
2/28/2019,588978
3/31/2019,588615
4/30/2019,591671
5/31/2019,593312
6/30/2019,595199
7/31/2019,597487
8/31/2019,599490
9/30/2019,600064
10/31/2019,600628
11/30/2019,602664
12/31/2019,605200
1/31/2020,608173
2/29/2020,611436
3/31/2020,617124
4/30/2020,621089
5/31/2020,624030
6/30/2020,624272
7/31/2020,627876
8/31/2020,634605
9/30/2020,644783
10/31/2020,655901
11/30/2020,668069
12/31/2020,678785
1/31/2021,688290
2/28/2021,696743
3/31/2021,707070
4/30/2021,721232
5/31/2021,742417
6/30/2021,766818
7/31/2021,790879
8/31/2021,805650
9/30/2021,815455
10/31/2021,820235
11/30/2021,827837
12/31/2021,839270
1/31/2022,859886
2/28/2022,880373
3/31/2022,903779
4/30/2022,923350
