Dates,Sacramento County
1/31/2000,155548
2/29/2000,156179
3/31/2000,156969
4/30/2000,158355
5/31/2000,159850
6/30/2000,161123
7/31/2000,162778
8/31/2000,164476
9/30/2000,166543
10/31/2000,168711
11/30/2000,171295
12/31/2000,173844
1/31/2001,176276
2/28/2001,178647
3/31/2001,181150
4/30/2001,184497
5/31/2001,187981
6/30/2001,192125
7/31/2001,195613
8/31/2001,198630
9/30/2001,200771
10/31/2001,202587
11/30/2001,204317
12/31/2001,206362
1/31/2002,207847
2/28/2002,209831
3/31/2002,211521
4/30/2002,213924
5/31/2002,216226
6/30/2002,218971
7/31/2002,221973
8/31/2002,225893
9/30/2002,229805
10/31/2002,233926
11/30/2002,237923
12/31/2002,241709
1/31/2003,245191
2/28/2003,247856
3/31/2003,250848
4/30/2003,254866
5/31/2003,258868
6/30/2003,263135
7/31/2003,266100
8/31/2003,269854
9/30/2003,272841
10/31/2003,276891
11/30/2003,280102
12/31/2003,283876
1/31/2004,287323
2/29/2004,291180
3/31/2004,295341
4/30/2004,298436
5/31/2004,303255
6/30/2004,309045
7/31/2004,317691
8/31/2004,325331
9/30/2004,332894
10/31/2004,339340
11/30/2004,346404
12/31/2004,352128
1/31/2005,358927
2/28/2005,365217
3/31/2005,371079
4/30/2005,377059
5/31/2005,382583
6/30/2005,389191
7/31/2005,394525
8/31/2005,399382
9/30/2005,404384
10/31/2005,408422
11/30/2005,412324
12/31/2005,415539
1/31/2006,417158
2/28/2006,417949
3/31/2006,417047
4/30/2006,417478
5/31/2006,416434
6/30/2006,416051
7/31/2006,413979
8/31/2006,411860
9/30/2006,407812
10/31/2006,401239
11/30/2006,395856
12/31/2006,389650
1/31/2007,385517
2/28/2007,382284
3/31/2007,380132
4/30/2007,378183
5/31/2007,373668
6/30/2007,367967
7/31/2007,361918
8/31/2007,356445
9/30/2007,351466
10/31/2007,343607
11/30/2007,335272
12/31/2007,330380
1/31/2008,324587
2/29/2008,317935
3/31/2008,306754
4/30/2008,297838
5/31/2008,289790
6/30/2008,281547
7/31/2008,274115
8/31/2008,266085
9/30/2008,257828
10/31/2008,252512
11/30/2008,247638
12/31/2008,244865
1/31/2009,240240
2/28/2009,236035
3/31/2009,233415
4/30/2009,231916
5/31/2009,230200
6/30/2009,228550
7/31/2009,224654
8/31/2009,221711
9/30/2009,219256
10/31/2009,218726
11/30/2009,218896
12/31/2009,217529
1/31/2010,217063
2/28/2010,216379
3/31/2010,217008
4/30/2010,216286
5/31/2010,216307
6/30/2010,215555
7/31/2010,215137
8/31/2010,213576
9/30/2010,210563
10/31/2010,207804
11/30/2010,206090
12/31/2010,206239
1/31/2011,205355
2/28/2011,203288
3/31/2011,200666
4/30/2011,198560
5/31/2011,195897
6/30/2011,192861
7/31/2011,190604
8/31/2011,189579
9/30/2011,189239
10/31/2011,187597
11/30/2011,185756
12/31/2011,183911
1/31/2012,183584
2/29/2012,183602
3/31/2012,184550
4/30/2012,185022
5/31/2012,185638
6/30/2012,185499
7/31/2012,186304
8/31/2012,188293
9/30/2012,191732
10/31/2012,195668
11/30/2012,198817
12/31/2012,201927
1/31/2013,205946
2/28/2013,210982
3/31/2013,216885
4/30/2013,223109
5/31/2013,230803
6/30/2013,238597
7/31/2013,246431
8/31/2013,251806
9/30/2013,257186
10/31/2013,261586
11/30/2013,267050
12/31/2013,271726
1/31/2014,274979
2/28/2014,277141
3/31/2014,278330
4/30/2014,278677
5/31/2014,277917
6/30/2014,277572
7/31/2014,274145
8/31/2014,273486
9/30/2014,273069
10/31/2014,276149
11/30/2014,277888
12/31/2014,277112
1/31/2015,278540
2/28/2015,280404
3/31/2015,283806
4/30/2015,286100
5/31/2015,287610
6/30/2015,288672
7/31/2015,288664
8/31/2015,288768
9/30/2015,289797
10/31/2015,292650
11/30/2015,295535
12/31/2015,299342
1/31/2016,302621
2/29/2016,304750
3/31/2016,306748
4/30/2016,308965
5/31/2016,312071
6/30/2016,314028
7/31/2016,315144
8/31/2016,316905
9/30/2016,319265
10/31/2016,321907
11/30/2016,324707
12/31/2016,326028
1/31/2017,328936
2/28/2017,332330
3/31/2017,336103
4/30/2017,338031
5/31/2017,339754
6/30/2017,343241
7/31/2017,346304
8/31/2017,347774
9/30/2017,348639
10/31/2017,350767
11/30/2017,353392
12/31/2017,357141
1/31/2018,360551
2/28/2018,364400
3/31/2018,366393
4/30/2018,367846
5/31/2018,369679
6/30/2018,371837
7/31/2018,373805
8/31/2018,374508
9/30/2018,374220
10/31/2018,373916
11/30/2018,374264
12/31/2018,375745
1/31/2019,376402
2/28/2019,376519
3/31/2019,376473
4/30/2019,378379
5/31/2019,380685
6/30/2019,382540
7/31/2019,382774
8/31/2019,382347
9/30/2019,383253
10/31/2019,384684
11/30/2019,388322
12/31/2019,391604
1/31/2020,394907
2/29/2020,397486
3/31/2020,400872
4/30/2020,403716
5/31/2020,403923
6/30/2020,402266
7/31/2020,403528
8/31/2020,407798
9/30/2020,414435
10/31/2020,421486
11/30/2020,428170
12/31/2020,435524
1/31/2021,441256
2/28/2021,449322
3/31/2021,455103
4/30/2021,464043
5/31/2021,472726
6/30/2021,484745
7/31/2021,498101
8/31/2021,509629
9/30/2021,519461
10/31/2021,521817
11/30/2021,524892
12/31/2021,528226
1/31/2022,536819
2/28/2022,545978
3/31/2022,554785
4/30/2022,562328
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
