Dates,San Bernardino County
1/31/2000,130653
2/29/2000,131576
3/31/2000,132280
4/30/2000,133635
5/31/2000,134560
6/30/2000,135374
7/31/2000,136140
8/31/2000,137052
9/30/2000,137900
10/31/2000,138965
11/30/2000,140138
12/31/2000,141463
1/31/2001,142690
2/28/2001,143722
3/31/2001,144815
4/30/2001,145853
5/31/2001,146951
6/30/2001,148087
7/31/2001,149424
8/31/2001,150920
9/30/2001,152357
10/31/2001,153850
11/30/2001,155405
12/31/2001,157157
1/31/2002,158686
2/28/2002,159962
3/31/2002,160963
4/30/2002,162055
5/31/2002,163445
6/30/2002,165238
7/31/2002,167320
8/31/2002,169876
9/30/2002,172568
10/31/2002,175576
11/30/2002,178474
12/31/2002,181148
1/31/2003,183436
2/28/2003,185208
3/31/2003,187408
4/30/2003,190091
5/31/2003,193407
6/30/2003,196408
7/31/2003,199352
8/31/2003,202578
9/30/2003,205885
10/31/2003,209797
11/30/2003,214080
12/31/2003,218743
1/31/2004,222518
2/29/2004,226666
3/31/2004,231746
4/30/2004,237074
5/31/2004,242408
6/30/2004,247716
7/31/2004,254141
8/31/2004,262668
9/30/2004,270340
10/31/2004,277656
11/30/2004,283499
12/31/2004,291095
1/31/2005,298156
2/28/2005,304495
3/31/2005,309212
4/30/2005,316411
5/31/2005,321059
6/30/2005,326422
7/31/2005,330398
8/31/2005,336850
9/30/2005,344096
10/31/2005,350115
11/30/2005,355584
12/31/2005,360074
1/31/2006,364828
2/28/2006,369678
3/31/2006,375176
4/30/2006,380184
5/31/2006,384674
6/30/2006,387998
7/31/2006,390693
8/31/2006,392620
9/30/2006,393611
10/31/2006,394511
11/30/2006,394317
12/31/2006,392883
1/31/2007,392277
2/28/2007,393016
3/31/2007,393498
4/30/2007,393458
5/31/2007,391438
6/30/2007,389479
7/31/2007,384338
8/31/2007,379139
9/30/2007,373180
10/31/2007,367288
11/30/2007,361138
12/31/2007,355430
1/31/2008,350380
2/29/2008,342451
3/31/2008,330795
4/30/2008,316769
5/31/2008,304228
6/30/2008,293230
7/31/2008,281815
8/31/2008,270745
9/30/2008,259693
10/31/2008,250647
11/30/2008,240455
12/31/2008,230968
1/31/2009,222047
2/28/2009,216622
3/31/2009,212310
4/30/2009,207794
5/31/2009,202438
6/30/2009,198671
7/31/2009,196808
8/31/2009,195671
9/30/2009,191648
10/31/2009,188485
11/30/2009,187735
12/31/2009,188927
1/31/2010,190293
2/28/2010,189760
3/31/2010,190722
4/30/2010,191484
5/31/2010,192837
6/30/2010,193753
7/31/2010,194430
8/31/2010,194211
9/30/2010,193682
10/31/2010,192590
11/30/2010,191233
12/31/2010,190709
1/31/2011,190584
2/28/2011,190989
3/31/2011,190008
4/30/2011,188188
5/31/2011,186928
6/30/2011,185886
7/31/2011,185156
8/31/2011,182965
9/30/2011,181715
10/31/2011,180540
11/30/2011,181521
12/31/2011,181270
1/31/2012,181004
2/29/2012,179273
3/31/2012,178993
4/30/2012,179952
5/31/2012,181583
6/30/2012,182546
7/31/2012,183404
8/31/2012,184369
9/30/2012,186436
10/31/2012,188412
11/30/2012,190652
12/31/2012,193495
1/31/2013,196522
2/28/2013,199642
3/31/2013,202726
4/30/2013,205985
5/31/2013,210728
6/30/2013,215586
7/31/2013,221224
8/31/2013,225425
9/30/2013,230644
10/31/2013,236439
11/30/2013,241997
12/31/2013,246582
1/31/2014,250416
2/28/2014,254898
3/31/2014,258484
4/30/2014,260503
5/31/2014,262549
6/30/2014,263899
7/31/2014,265439
8/31/2014,266591
9/30/2014,267189
10/31/2014,268781
11/30/2014,269438
12/31/2014,270596
1/31/2015,270585
2/28/2015,271729
3/31/2015,272619
4/30/2015,274257
5/31/2015,274933
6/30/2015,276201
7/31/2015,277126
8/31/2015,277853
9/30/2015,279520
10/31/2015,281129
11/30/2015,283931
12/31/2015,285817
1/31/2016,287989
2/29/2016,289192
3/31/2016,290541
4/30/2016,291842
5/31/2016,293762
6/30/2016,295066
7/31/2016,296099
8/31/2016,297167
9/30/2016,298773
10/31/2016,300482
11/30/2016,301574
12/31/2016,303254
1/31/2017,305627
2/28/2017,308289
3/31/2017,309727
4/30/2017,311840
5/31/2017,312975
6/30/2017,315547
7/31/2017,315145
8/31/2017,316879
9/30/2017,317987
10/31/2017,321429
11/30/2017,324588
12/31/2017,327740
1/31/2018,330814
2/28/2018,333407
3/31/2018,335716
4/30/2018,337388
5/31/2018,339739
6/30/2018,341339
7/31/2018,342699
8/31/2018,343757
9/30/2018,346019
10/31/2018,348154
11/30/2018,348803
12/31/2018,348804
1/31/2019,349434
2/28/2019,350206
3/31/2019,351336
4/30/2019,352157
5/31/2019,353568
6/30/2019,354269
7/31/2019,354095
8/31/2019,354601
9/30/2019,355299
