County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alameda County,1449840,1469484,1462106,1454163,1445721,1441545,1444484,1455715,1477208,1498539,1512986,1530915,1553764,1579593,1607792,1634538,1650950,1660196,1666756,1671329,1679844,1648556
Alpine County,1209,1196,1237,1233,1263,1219,1276,1274,1202,1197,1161,1093,1110,1128,1080,1077,1047,1111,1089,1129,1198,1235
Amador County,35153,35697,36561,36994,37400,38040,38353,38756,38248,38238,37886,37543,37104,36620,36726,37031,37429,38529,39405,39752,40541,41259
Butte County,203807,206193,209120,211481,213065,214752,216824,217469,219034,219777,219949,219975,220869,221641,223516,224631,226231,228696,230339,219186,210083,208309
Calaveras County,40645,41304,42380,43755,44530,45295,46045,46268,46265,45900,45468,45160,44815,44655,44671,44965,45322,45681,45698,45905,45327,46221
Colusa County,18817,19022,19232,19568,20207,20540,20890,21075,21134,21250,21437,21323,21284,21250,21176,21231,21496,21579,21418,21547,21853,21917
Contra Costa County,952810,970952,979862,987531,992424,999013,1000834,1009152,1023344,1037890,1052540,1065440,1077548,1093401,1108876,1124405,1137268,1145535,1150519,1153526,1165562,1161413
Del Norte County,27440,27292,27397,27601,27950,28281,28211,28415,28496,28599,28566,28443,28190,27816,27175,27190,27382,27351,27740,27812,27709,28100
El Dorado County,157162,161101,165195,168331,171653,175003,176773,177694,179150,180455,181136,180936,180575,181481,183108,184569,185976,188679,190746,192843,191114,193221
Fresno County,801288,813021,829762,847193,861035,872470,883862,895933,909630,921478,932039,939406,945045,951514,960567,969488,976830,985238,991950,999101,1008966,1013581
Glenn County,26416,26450,26651,27016,27122,27393,27652,27775,28019,28100,28127,28139,27851,27809,27831,27753,27840,27926,27967,28393,28893,28805
Humboldt County,126462,127520,128780,129754,130702,131497,132093,132001,132657,133744,135009,135243,134572,134403,134494,135102,136290,136507,136244,135558,136351,136310
Imperial County,142410,143707,145640,148984,152259,156113,160505,164596,167917,172008,174716,175786,176575,176438,177974,178937,180179,181649,181523,181215,179489,179851
