StateName, CA ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
, Average of 2000 , Average of 2001 , Average of 2002 , Average of 2003 ,Average of 2004,Average of 2005,Average of 2006,Average of 20072,Average of 2008,Average of 2009,Average of 2010,Average of 2011,Average of 2012,Average of 20132,Average of 20142,Average of 20152,Average of 2016,Average of 2017,Average of 2018,Average of 2019,Average of 2020,Average of 2021
CA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"$562,717 "
Bakersfield,"$108,063 ","$112,765 ","$122,224 ","$141,120 ","$173,789 ","$237,213 ","$286,290 ","$282,611 ","$218,303 ","$156,840 ","$145,961 ","$134,457 ","$137,361 ","$163,062 ","$186,619 ","$193,906 ","$199,360 ","$206,729 ","$218,186 ","$229,193 ","$243,727 ","$288,284 "
Chico,NaN,"$153,156 ","$173,907 ","$207,018 ","$248,175 ","$295,269 ","$319,895 ","$307,195 ","$276,953 ","$237,752 ","$220,807 ","$202,738 ","$194,323 ","$218,011 ","$234,972 ","$241,396 ","$256,615 ","$272,504 ","$294,854 ","$331,810 ","$338,486 ","$379,253 "
Clearlake,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"$203,205 ","$188,707 ","$160,452 ","$154,381 ","$145,885 ","$146,307 ","$164,750 ","$180,796 ","$185,499 ","$199,609 ","$225,254 ","$247,800 ","$247,997 ","$256,150 ","$308,043 "
Crescent City,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"$239,205 ","$198,130 ","$169,300 ","$165,479 ","$156,552 ","$162,995 ","$187,858 ","$212,004 ","$228,074 ","$238,529 ","$251,323 ","$260,660 ","$268,721 ","$273,459 ","$301,920 "
El Centro,NaN,"$92,248 ","$98,998 ","$105,717 ","$122,225 ","$157,724 ","$191,988 ","$185,117 ","$155,485 ","$128,615 ","$123,614 ","$117,234 ","$127,789 ","$134,212 ","$154,798 ","$177,106 ","$186,578 ","$195,410 ","$208,262 ","$217,426 ","$230,574 ","$281,274 "
Eureka-Arcata-Fortuna,NaN,"$138,148 ","$152,238 ","$184,260 ","$222,025 ","$279,163 ","$311,827 ","$303,398 ","$291,373 ","$263,289 ","$253,737 ","$245,627 ","$227,106 ","$245,722 ","$262,659 ","$269,716 ","$287,146 ","$314,048 ","$325,095 ","$329,406 ","$337,784 ","$395,775 "
Fresno,"$120,179 ","$127,573 ","$144,412 ","$175,341 ","$218,578 ","$278,592 ","$320,515 ","$305,574 ","$244,950 ","$187,465 ","$177,643 ","$156,733 ","$156,508 ","$179,408 ","$201,698 ","$209,067 ","$221,004 ","$237,425 ","$256,839 ","$268,570 ","$283,416 ","$336,019 "
Hanford-Corcoran,NaN,"$100,298 ","$103,592 ","$113,674 ","$137,748 ","$180,143 ","$214,379 ","$213,252 ","$187,823 ","$161,899 ","$161,379 ","$140,569 ","$140,726 ","$154,721 ","$174,707 ","$184,369 ","$196,959 ","$211,629 ","$221,267 ","$231,841 ","$249,450 ","$287,348 "
Los Angeles-Long Beach-Anaheim,"$259,570 ","$290,251 ","$330,302 ","$392,999 ","$496,431 ","$592,141 ","$658,280 ","$639,894 ","$533,405 ","$460,691 ","$462,611 ","$436,589 ","$431,391 ","$506,131 ","$550,926 ","$574,730 ","$608,516 ","$642,680 ","$684,416 ","$691,440 ","$725,962 ","$836,292 "
Madera,NaN,NaN,NaN,"$131,112 ","$162,137 ","$207,584 ","$248,901 ","$239,957 ","$191,057 ","$160,929 ","$156,197 ","$152,395 ","$154,056 ","$176,622 ","$207,273 ","$215,734 ","$228,416 ","$248,592 ","$270,798 ","$280,323 ","$300,454 ","$347,466 "
Merced,NaN,"$149,480 ","$173,149 ","$200,269 ","$240,526 ","$313,174 ","$363,909 ","$317,774 ","$199,782 ","$118,784 ","$123,074 ","$121,355 ","$121,041 ","$149,744 ","$186,582 ","$198,846 ","$218,471 ","$241,690 ","$264,870 ","$278,369 ","$292,014 ","$353,794 "
Modesto,"$152,640 ","$182,817 ","$211,631 ","$244,694 ","$288,307 ","$364,161 ","$416,239 ","$369,866 ","$240,239 ","$163,972 ","$155,926 ","$146,457 ","$145,868 ","$182,866 ","$227,126 ","$241,484 ","$263,963 ","$286,122 ","$311,325 ","$325,142 ","$345,580 ","$407,356 "
Napa,"$268,021 ","$322,941 ","$363,777 ","$421,657 ","$491,397 ","$577,888 ","$627,330 ","$599,614 ","$541,091 ","$438,749 ","$400,232 ","$376,566 ","$380,412 ","$468,452 ","$537,714 ","$573,672 ","$621,444 ","$652,176 ","$686,715 ","$703,928 ","$713,943 ","$833,084 "
Oxnard-Thousand Oaks-Ventura,"$276,378 ","$308,938 ","$346,950 ","$415,639 ","$513,131 ","$611,679 ","$662,173 ","$615,059 ","$503,393 ","$435,282 ","$436,120 ","$413,426 ","$392,341 ","$456,346 ","$508,362 ","$522,965 ","$551,361 ","$580,166 ","$608,234 ","$616,641 ","$636,907 ","$743,636 "
Red Bluff,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"$163,760 ","$189,531 ","$209,185 ","$214,435 ","$221,594 ","$232,261 ","$241,686 ","$258,714 ","$249,667 ","$288,015 "
Redding,"$80,307 ","$84,944 ","$98,172 ","$119,994 ","$141,912 ","$172,877 ","$197,172 ","$187,991 ","$165,232 ","$142,634 ","$135,300 ","$125,936 ","$123,323 ","$144,894 ","$183,737 ","$210,327 ","$235,334 ","$250,393 ","$263,110 ","$277,953 ","$290,071 ","$342,872 "
Riverside-San Bernardino-Ontario,"$153,114 ","$170,237 ","$191,439 ","$225,768 ","$284,794 ","$363,113 ","$414,246 ","$403,555 ","$304,571 ","$216,264 ","$209,075 ","$202,177 ","$202,098 ","$240,956 ","$285,300 ","$298,234 ","$315,770 ","$335,379 ","$361,516 ","$375,074 ","$395,261 ","$478,774 "
Sacramento--Roseville--Arden-Arcade,"$208,226 ","$245,014 ","$280,357 ","$326,476 ","$381,137 ","$465,485 ","$498,845 ","$455,629 ","$374,950 ","$314,705 ","$292,571 ","$268,450 ","$261,254 ","$314,201 ","$355,569 ","$367,674 ","$393,119 ","$420,800 ","$450,104 ","$461,995 ","$482,546 ","$576,970 "
Salinas,"$290,287 ","$356,561 ","$397,141 ","$440,896 ","$524,889 ","$661,124 ","$728,931 ","$672,206 ","$506,670 ","$358,137 ","$348,571 ","$324,238 ","$321,683 ","$377,476 ","$451,148 ","$470,082 ","$509,481 ","$542,165 ","$572,962 ","$598,945 ","$625,462 ","$732,814 "
San Diego-Carlsbad,"$244,528 ","$284,721 ","$325,441 ","$389,889 ","$479,648 ","$561,952 ","$568,059 ","$528,831 ","$447,671 ","$381,732 ","$387,253 ","$365,523 ","$364,045 ","$425,196 ","$464,681 ","$482,347 ","$514,636 ","$549,506 ","$587,827 ","$596,221 ","$634,679 ","$768,491 "
San Francisco-Oakland-Hayward,"$463,293 ","$546,474 ","$575,298 ","$622,367 ","$707,893 ","$832,354 ","$881,777 ","$860,041 ","$768,461 ","$652,271 ","$639,030 ","$590,681 ","$602,243 ","$719,826 ","$817,438 ","$901,453 ","$976,759 ","$1,029,793 ","$1,135,702 ","$1,134,763 ","$1,159,523 ","$1,293,287 "
San Jose-Sunnyvale-Santa Clara,NaN,NaN,NaN,"$530,866 ","$604,727 ","$732,907 ","$791,249 ","$768,216 ","$652,152 ","$543,925 ","$529,587 ","$500,258 ","$511,078 ","$601,980 ","$666,472 ","$723,763 ","$789,124 ","$844,429 ","$966,680 ","$935,295 ","$966,729 ","$1,110,664 "
San Luis Obispo-Paso Robles-Arroyo Grande,"$257,694 ","$310,737 ","$361,487 ","$423,529 ","$495,131 ","$588,526 ","$625,093 ","$592,351 ","$534,947 ","$464,910 ","$442,612 ","$409,160 ","$407,305 ","$460,278 ","$504,493 ","$529,678 ","$563,917 ","$591,143 ","$624,421 ","$632,456 ","$655,769 ","$748,399 "
Santa Cruz-Watsonville,"$383,665 ","$477,044 ","$507,131 ","$548,146 ","$615,647 ","$736,433 ","$784,125 ","$753,769 ","$676,899 ","$572,755 ","$561,851 ","$519,957 ","$514,977 ","$594,922 ","$667,601 ","$709,884 ","$769,990 ","$811,309 ","$877,553 ","$880,251 ","$906,621 ","$1,080,762 "
Santa Maria-Santa Barbara,"$315,689 ","$367,076 ","$429,095 ","$511,889 ","$603,742 ","$725,304 ","$771,916 ","$702,114 ","$578,176 ","$475,025 ","$478,640 ","$430,179 ","$407,763 ","$478,444 ","$543,968 ","$566,378 ","$588,453 ","$605,779 ","$634,884 ","$647,849 ","$676,478 ","$801,035 "
Santa Rosa,"$302,642 ","$369,152 ","$402,950 ","$445,839 ","$516,190 ","$612,683 ","$643,082 ","$596,409 ","$503,608 ","$413,837 ","$404,084 ","$370,702 ","$358,706 ","$429,752 ","$496,079 ","$532,677 ","$575,152 ","$616,842 ","$672,124 ","$652,687 ","$668,934 ","$750,865 "
