Month,Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra_Costa,Del_Norte,El_Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los_Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San_Benito,San_Bernardino,San_Diego,San_Francisco,San_Joaquin,San_Luis Obispo,San_Mateo,Santa_Barbara,Santa_Clara,Santa_Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
1/1/00,3472,1220,1976,1928,1828,1792,3300,1916,2272,2012,1864,1944,1872,1928,2184,1956,1728,2192,3052,1844,3296,1900,1868,1908,1644,1756,2316,2548,2200,3024,2588,1980,2244,2912,2192,2304,2880,4440,2260,2156,5160,2500,5872,2756,2080,2296,1708,2428,2756,2168,1900,1952,1744,1832,1960,2848,2564,2168
2/1/00,3481,1254,1987,1937,1836,1806,3312,1921,2283,2023,1872,1948,1884,1938,2195,1956,1738,2194,3060,1855,3300,1904,1874,1912,1651,1764,2326,2558,2207,3030,2595,1985,2249,2920,2199,2311,2886,4461,2269,2163,5129,2507,5805,2751,2087,2298,1717,2440,2758,2177,1910,1956,1750,1838,1966,2853,2577,2180
3/1/00,3489,1287,1998,1947,1845,1819,3323,1926,2294,2034,1880,1951,1896,1947,2206,1956,1748,2197,3067,1866,3305,1907,1880,1917,1658,1772,2337,2568,2213,3036,2603,1989,2254,2929,2206,2317,2893,4483,2279,2169,5099,2515,5739,2746,2094,2299,1726,2453,2760,2186,1919,1961,1757,1844,1973,2858,2590,2193
4/1/00,3498,1321,2009,1956,1853,1833,3335,1931,2305,2045,1888,1955,1908,1957,2217,1956,1758,2199,3075,1877,3309,1911,1886,1921,1665,1780,2347,2578,2220,3042,2610,1994,2259,2937,2213,2324,2899,4504,2288,2176,5068,2522,5672,2741,2101,2301,1735,2465,2762,2195,1929,1965,1763,1850,1979,2863,2603,2205
5/1/00,3507,1355,2020,1965,1861,1847,3347,1936,2316,2056,1896,1959,1920,1967,2228,1956,1768,2201,3083,1888,3313,1915,1892,1925,1672,1788,2357,2588,2227,3048,2617,1999,2264,2945,2220,2331,2905,4525,2297,2183,5037,2529,5605,2736,2108,2303,1744,2477,2764,2204,1939,1969,1769,1856,1985,2868,2616,2217
6/1/00,3515,1388,2031,1975,1870,1860,3358,1941,2327,2067,1904,1962,1932,1976,2239,1956,1778,2204,3090,1899,3318,1918,1898,1930,1679,1796,2368,2598,2233,3054,2625,2003,2269,2954,2227,2337,2912,4547,2307,2189,5007,2537,5539,2731,2115,2304,1753,2490,2766,2213,1948,1974,1776,1862,1992,2873,2629,2230
7/1/00,3524,1422,2042,1984,1878,1874,3370,1946,2338,2078,1912,1966,1944,1986,2250,1956,1788,2206,3098,1910,3322,1922,1904,1934,1686,1804,2378,2608,2240,3060,2632,2008,2274,2962,2234,2344,2918,4568,2316,2196,4976,2544,5472,2726,2122,2306,1762,2502,2768,2222,1958,1978,1782,1868,1998,2878,2642,2242
8/1/00,3533,1456,2053,1993,1886,1888,3382,1951,2349,2089,1920,1970,1956,1996,2261,1956,1798,2208,3106,1921,3326,1926,1910,1938,1693,1812,2388,2618,2247,3066,2639,2013,2279,2970,2241,2351,2924,4589,2325,2203,4945,2551,5405,2721,2129,2308,1771,2514,2770,2231,1968,1982,1788,1874,2004,2883,2655,2254
9/1/00,3541,1489,2064,2003,1895,1901,3393,1956,2360,2100,1928,1973,1968,2005,2272,1956,1808,2211,3113,1932,3331,1929,1916,1943,1700,1820,2399,2628,2253,3072,2647,2017,2284,2979,2248,2357,2931,4611,2335,2209,4915,2559,5339,2716,2136,2309,1780,2527,2772,2240,1977,1987,1795,1880,2011,2888,2668,2267
10/1/00,3550,1523,2075,2012,1903,1915,3405,1961,2371,2111,1936,1977,1980,2015,2283,1956,1818,2213,3121,1943,3335,1933,1922,1947,1707,1828,2409,2638,2260,3078,2654,2022,2289,2987,2255,2364,2937,4632,2344,2216,4884,2566,5272,2711,2143,2311,1789,2539,2774,2249,1987,1991,1801,1886,2017,2893,2681,2279
11/1/00,3559,1557,2086,2021,1911,1929,3417,1966,2382,2122,1944,1981,1992,2025,2294,1956,1828,2215,3129,1954,3339,1937,1928,1951,1714,1836,2419,2648,2267,3084,2661,2027,2294,2995,2262,2371,2943,4653,2353,2223,4853,2573,5205,2706,2150,2313,1798,2551,2776,2258,1997,1995,1807,1892,2023,2898,2694,2291
12/1/00,3567,1590,2097,2031,1920,1942,3428,1971,2393,2133,1952,1984,2004,2034,2305,1956,1838,2218,3136,1965,3344,1940,1934,1956,1721,1844,2430,2658,2273,3090,2669,2031,2299,3004,2269,2377,2950,4675,2363,2229,4823,2581,5139,2701,2157,2314,1807,2564,2778,2267,2006,2000,1814,1898,2030,2903,2707,2304
1/1/01,3576,1624,2108,2040,1928,1956,3440,1976,2404,2144,1960,1988,2016,2044,2316,1956,1848,2220,3144,1976,3348,1944,1940,1960,1728,1852,2440,2668,2280,3096,2676,2036,2304,3012,2276,2384,2956,4696,2372,2236,4792,2588,5072,2696,2164,2316,1816,2576,2780,2276,2016,2004,1820,1904,2036,2908,2720,2316
2/1/01,3581,1630,2118,2044,1936,1963,3448,1980,2408,2152,1964,1994,2024,2047,2323,1956,1862,2224,3149,1983,3359,1953,1945,1968,1736,1863,2445,2674,2284,3102,2683,2040,2311,3022,2286,2391,2962,4680,2379,2242,4760,2593,5054,2700,2169,2285,1819,2579,2782,2284,2022,2009,1827,1910,2048,2911,2721,2326
