Year,County,Average Weekly Wages,Average Montly Wages
2020,Alameda  ,1698,6792
2019,Alameda  ,1531,6124
2018,Alameda  ,1466,5864
2017,Alameda  ,1421,5684
2016,Alameda  ,1357,5428
2015,Alameda  ,1323,5292
2014,Alameda  ,1264,5056
2013,Alameda  ,1223,4892
2012,Alameda  ,1224,4896
2011,Alameda  ,1197,4788
2010,Alameda  ,1176,4704
2009,Alameda  ,1132,4528
2008,Alameda  ,1128,4512
2007,Alameda  ,1119,4476
2006,Alameda  ,1075,4300
2005,Alameda  ,1022,4088
2004,Alameda  ,988,3952
2003,Alameda  ,939,3756
2002,Alameda  ,910,3640
2001,Alameda  ,894,3576
2000,Alameda  ,868,3472
1999,Alameda  ,790,3160
1998,Alameda  ,746,2984
1997,Alameda  ,712,2848
2020,Alpine  ,897,3588
2019,Alpine  ,775,3100
2018,Alpine  ,704,2816
2017,Alpine  ,698,2792
2016,Alpine  ,685,2740
2015,Alpine  ,748,2992
2014,Alpine  ,1050,4200
2013,Alpine  ,1030,4120
2012,Alpine  ,964,3856
2011,Alpine  ,853,3412
2010,Alpine  ,687,2748
2009,Alpine  ,632,2528
2008,Alpine  ,594,2376
2007,Alpine  ,566,2264
2006,Alpine  ,533,2132
2005,Alpine  ,489,1956
2004,Alpine  ,473,1892
2003,Alpine  ,440,1760
2002,Alpine  ,425,1700
2001,Alpine  ,406,1624
2000,Alpine  ,305,1220
1999,Alpine  ,280,1120
1998,Alpine  ,265,1060
1997,Alpine  ,253,1012
2020,Amador  ,973,3892
2019,Amador  ,888,3552
2018,Amador  ,860,3440
2017,Amador  ,842,3368
2016,Amador  ,814,3256
2015,Amador  ,807,3228
2014,Amador  ,785,3140
2013,Amador  ,767,3068
2012,Amador  ,738,2952
2011,Amador  ,731,2924
2010,Amador  ,710,2840
2009,Amador  ,712,2848
2008,Amador  ,730,2920
2007,Amador  ,706,2824
2006,Amador  ,672,2688
2005,Amador  ,634,2536
2004,Amador  ,625,2500
2003,Amador  ,577,2308
2002,Amador  ,556,2224
2001,Amador  ,527,2108
2000,Amador  ,494,1976
1999,Amador  ,469,1876
1998,Amador  ,447,1788
1997,Amador  ,461,1844
2020,Butte  ,944,3776
2019,Butte  ,866,3464
2018,Butte  ,823,3292
2017,Butte  ,790,3160
2016,Butte  ,760,3040
2015,Butte  ,746,2984
2014,Butte  ,712,2848
2013,Butte  ,702,2808
2012,Butte  ,703,2812
2011,Butte  ,690,2760
2010,Butte  ,684,2736
2009,Butte  ,677,2708
2008,Butte  ,660,2640
2007,Butte  ,639,2556
2006,Butte  ,607,2428
2005,Butte  ,577,2308
2004,Butte  ,559,2236
2003,Butte  ,536,2144
2002,Butte  ,523,2092
2001,Butte  ,510,2040
2000,Butte  ,482,1928
1999,Butte  ,464,1856
1998,Butte  ,448,1792
1997,Butte  ,426,1704
2020,Calaveras  ,880,3520
2019,Calaveras  ,803,3212
2018,Calaveras  ,774,3096
2017,Calaveras  ,741,2964
2016,Calaveras  ,734,2936
2015,Calaveras  ,714,2856
2014,Calaveras  ,689,2756
2013,Calaveras  ,678,2712
2012,Calaveras  ,684,2736
2011,Calaveras  ,669,2676
2010,Calaveras  ,657,2628
2009,Calaveras  ,643,2572
2008,Calaveras  ,628,2512
2007,Calaveras  ,605,2420
2006,Calaveras  ,584,2336
2005,Calaveras  ,564,2256
2004,Calaveras  ,545,2180
2003,Calaveras  ,518,2072
2002,Calaveras  ,506,2024
2001,Calaveras  ,482,1928
2000,Calaveras  ,457,1828
1999,Calaveras  ,419,1676
1998,Calaveras  ,413,1652
1997,Calaveras  ,400,1600
2020,Colusa  ,946,3784
2019,Colusa  ,849,3396
2018,Colusa  ,853,3412
2017,Colusa  ,803,3212
2016,Colusa  ,782,3128
2015,Colusa  ,784,3136
2014,Colusa  ,744,2976
2013,Colusa  ,705,2820
2012,Colusa  ,690,2760
2011,Colusa  ,674,2696
2010,Colusa  ,707,2828
2009,Colusa  ,646,2584
2008,Colusa  ,640,2560
2007,Colusa  ,594,2376
2006,Colusa  ,555,2220
2005,Colusa  ,543,2172
2004,Colusa  ,528,2112
2003,Colusa  ,515,2060
2002,Colusa  ,511,2044
2001,Colusa  ,489,1956
2000,Colusa  ,448,1792
1999,Colusa  ,427,1708
1998,Colusa  ,410,1640
1997,Colusa  ,379,1516
2020,Contra Costa  ,1500,6000
2019,Contra Costa  ,1363,5452
2018,Contra Costa  ,1327,5308
2017,Contra Costa  ,1293,5172
2016,Contra Costa  ,1254,5016
2015,Contra Costa  ,1227,4908
2014,Contra Costa  ,1191,4764
2013,Contra Costa  ,1170,4680
2012,Contra Costa  ,1157,4628
2011,Contra Costa  ,1137,4548
2010,Contra Costa  ,1107,4428
2009,Contra Costa  ,1081,4324
2008,Contra Costa  ,1083,4332
2007,Contra Costa  ,1064,4256
2006,Contra Costa  ,1022,4088
2005,Contra Costa  ,991,3964
2004,Contra Costa  ,955,3820
2003,Contra Costa  ,897,3588
2002,Contra Costa  ,885,3540
2001,Contra Costa  ,860,3440
2000,Contra Costa  ,825,3300
1999,Contra Costa  ,788,3152
1998,Contra Costa  ,735,2940
1997,Contra Costa  ,696,2784
2020,Del Norte  ,870,3480
2019,Del Norte  ,776,3104
2018,Del Norte  ,752,3008
