Month,kings_wages,kings_population,kings_home_prices
1/1/00,1956,129835,
2/1/00,1964,129835,
3/1/00,1973,129835,
4/1/00,1981,129835,
5/1/00,1989,130850,
6/1/00,1998,131104,
7/1/00,2006,131358,
8/1/00,2014,131612,
9/1/00,2023,131866,
10/1/00,2031,132120,
11/1/00,2039,132373,
12/1/00,2048,132627,
1/1/01,2056,132881,98192
2/1/01,2063,133088,98457
3/1/01,2070,133296,98869
4/1/01,2077,133503,99547
5/1/01,2084,133710,100112
6/1/01,2091,133918,100438
7/1/01,2098,134125,100656
8/1/01,2105,134332,100862
9/1/01,2112,134540,101066
10/1/01,2119,134747,101344
11/1/01,2126,134954,101773
12/1/01,2133,135162,102261
1/1/02,2140,135369,102692
2/1/02,2145,135704,103129
3/1/02,2149,136040,103592
4/1/02,2154,136375,103042
5/1/02,2159,136710,102475
6/1/02,2163,137046,102006
7/1/02,2168,137381,102591
8/1/02,2173,137716,103335
9/1/02,2177,138052,104007
10/1/02,2182,138387,104708
11/1/02,2187,138722,105380
12/1/02,2191,139058,106150
1/1/03,2196,139393,107171
2/1/03,2203,139744,108043
3/1/03,2210,140094,108997
4/1/03,2217,140445,109862
5/1/03,2224,140796,110912
6/1/03,2231,141146,112165
7/1/03,2238,141497,113617
8/1/03,2245,141848,115240
9/1/03,2252,142198,116786
10/1/03,2259,142549,118518
11/1/03,2266,142900,120362
12/1/03,2273,143250,122416
1/1/04,2280,143601,124193
2/1/04,2282,143730,126102
3/1/04,2285,143859,128002
4/1/04,2287,143988,129932
5/1/04,2289,144116,131952
6/1/04,2292,144245,134412
7/1/04,2294,144374,138076
8/1/04,2296,144503,141284
9/1/04,2299,144632,144336
10/1/04,2301,144761,147748
11/1/04,2303,144889,151586
12/1/04,2306,145018,155351
1/1/05,2308,145147,158882
2/1/05,2315,145361,161913
3/1/05,2323,145575,164968
4/1/05,2330,145788,169017
5/1/05,2337,146002,174104
6/1/05,2345,146216,179815
7/1/05,2352,146430,183203
8/1/05,2359,146643,187308
