Dates,San Francisco County
1/31/2000,467176
2/29/2000,470029
3/31/2000,473897
4/30/2000,482065
5/31/2000,491148
6/30/2000,500865
7/31/2000,510754
8/31/2000,520979
9/30/2000,531075
10/31/2000,541671
11/30/2000,553200
12/31/2000,565792
1/31/2001,577995
2/28/2001,589075
3/31/2001,596576
4/30/2001,603282
5/31/2001,607407
6/30/2001,611418
7/31/2001,613012
8/31/2001,614581
9/30/2001,615656
10/31/2001,614007
11/30/2001,609918
12/31/2001,602626
1/31/2002,598916
2/28/2002,597013
3/31/2002,598798
4/30/2002,600242
5/31/2002,604718
6/30/2002,610929
7/31/2002,618917
8/31/2002,627457
9/30/2002,633386
10/31/2002,638226
11/30/2002,640120
12/31/2002,642826
1/31/2003,644429
2/28/2003,650805
3/31/2003,656802
4/30/2003,663627
5/31/2003,663597
6/30/2003,663083
7/31/2003,663952
8/31/2003,666154
9/30/2003,669883
10/31/2003,672997
11/30/2003,678527
12/31/2003,684785
1/31/2004,694710
2/29/2004,704914
3/31/2004,714496
4/30/2004,723916
5/31/2004,736388
6/30/2004,748672
7/31/2004,758588
8/31/2004,764353
9/30/2004,776123
10/31/2004,790892
11/30/2004,805113
12/31/2004,815843
1/31/2005,822656
2/28/2005,834565
3/31/2005,844673
4/30/2005,858513
5/31/2005,871551
6/30/2005,883145
7/31/2005,891133
8/31/2005,895292
9/30/2005,903279
10/31/2005,912076
11/30/2005,917684
12/31/2005,920207
1/31/2006,918357
2/28/2006,911245
3/31/2006,907497
4/30/2006,907838
5/31/2006,916346
6/30/2006,921015
7/31/2006,919944
8/31/2006,917927
9/30/2006,914653
10/31/2006,910445
11/30/2006,907609
12/31/2006,905291
1/31/2007,904563
2/28/2007,905634
3/31/2007,912471
4/30/2007,923802
5/31/2007,931765
6/30/2007,935082
7/31/2007,934052
8/31/2007,934911
9/30/2007,934960
10/31/2007,935046
11/30/2007,936549
12/31/2007,931109
1/31/2008,925583
2/29/2008,911012
3/31/2008,907271
4/30/2008,901287
5/31/2008,902038
6/30/2008,892339
7/31/2008,880514
8/31/2008,869285
9/30/2008,859949
10/31/2008,855531
11/30/2008,849121
12/31/2008,844746
1/31/2009,838809
2/28/2009,829962
3/31/2009,820395
4/30/2009,806858
5/31/2009,795726
6/30/2009,789074
7/31/2009,787697
8/31/2009,780943
9/30/2009,769149
10/31/2009,763876
11/30/2009,762554
12/31/2009,773719
1/31/2010,779475
2/28/2010,789999
3/31/2010,789349
4/30/2010,790124
5/31/2010,785401
6/30/2010,783154
7/31/2010,776562
8/31/2010,778470
9/30/2010,778517
10/31/2010,777528
11/30/2010,770267
12/31/2010,760407
1/31/2011,753738
2/28/2011,747560
3/31/2011,745490
4/30/2011,742125
5/31/2011,736305
6/30/2011,727643
7/31/2011,725441
8/31/2011,724481
9/30/2011,724477
10/31/2011,721283
11/30/2011,718803
12/31/2011,719160
1/31/2012,718950
2/29/2012,725082
3/31/2012,731843
4/30/2012,737245
5/31/2012,740699
6/30/2012,746834
7/31/2012,760076
8/31/2012,774636
9/30/2012,788674
10/31/2012,799399
11/30/2012,808537
12/31/2012,819516
1/31/2013,837482
2/28/2013,847496
3/31/2013,859067
4/30/2013,869008
5/31/2013,887570
6/30/2013,906912
7/31/2013,921769
8/31/2013,933101
9/30/2013,937842
10/31/2013,940357
11/30/2013,946727
12/31/2013,959687
1/31/2014,971945
2/28/2014,996376
3/31/2014,1014349
4/30/2014,1032389
5/31/2014,1036980
6/30/2014,1037265
7/31/2014,1039736
8/31/2014,1031776
9/30/2014,1032227
10/31/2014,1035948
11/30/2014,1057585
12/31/2014,1069717
1/31/2015,1077003
2/28/2015,1088990
3/31/2015,1103811
4/30/2015,1121434
5/31/2015,1126862
6/30/2015,1141017
7/31/2015,1156844
8/31/2015,1173202
9/30/2015,1192492
10/31/2015,1210911
11/30/2015,1224031
12/31/2015,1238084
1/31/2016,1256574
2/29/2016,1264766
3/31/2016,1261375
4/30/2016,1248440
5/31/2016,1248177
6/30/2016,1243469
7/31/2016,1228525
8/31/2016,1212638
9/30/2016,1209895
10/31/2016,1218628
11/30/2016,1235265
12/31/2016,1240162
1/31/2017,1241133
2/28/2017,1233405
3/31/2017,1230921
4/30/2017,1239549
5/31/2017,1254535
6/30/2017,1271441
7/31/2017,1280818
8/31/2017,1293370
9/30/2017,1304939
10/31/2017,1317344
11/30/2017,1328256
12/31/2017,1335076
1/31/2018,1343579
2/28/2018,1354395
3/31/2018,1376447
4/30/2018,1399466
5/31/2018,1412928
6/30/2018,1432022
7/31/2018,1436190
8/31/2018,1445023
9/30/2018,1440487
10/31/2018,1446789
11/30/2018,1443206
12/31/2018,1437498
1/31/2019,1437372
2/28/2019,1439065
3/31/2019,1437349
4/30/2019,1434322
5/31/2019,1437922
6/30/2019,1442010
7/31/2019,1439780
8/31/2019,1435883
9/30/2019,1431676
10/31/2019,1439408
11/30/2019,1442792
12/31/2019,1455818
1/31/2020,1459196
2/29/2020,1469813
3/31/2020,1471747
4/30/2020,1481106
5/31/2020,1470910
6/30/2020,1460602
7/31/2020,1441735
8/31/2020,1444226
9/30/2020,1445337
10/31/2020,1440383
11/30/2020,1427819
12/31/2020,1419615
1/31/2021,1421442
2/28/2021,1429697
3/31/2021,1441964
4/30/2021,1450706
5/31/2021,1468555
6/30/2021,1485968
7/31/2021,1514732
8/31/2021,1530190
9/30/2021,1546546
10/31/2021,1555517
11/30/2021,1564340
12/31/2021,1571108
1/31/2022,1575868
2/28/2022,1596269
3/31/2022,1620375
4/30/2022,1644712
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
