Dates,Kings County
1/31/2000,
2/29/2000,
3/31/2000,
4/30/2000,
5/31/2000,
6/30/2000,
7/31/2000,
8/31/2000,
9/30/2000,
10/31/2000,
11/30/2000,
12/31/2000,
1/31/2001,98192
2/28/2001,98457
3/31/2001,98869
4/30/2001,99547
5/31/2001,100112
6/30/2001,100438
7/31/2001,100656
8/31/2001,100862
9/30/2001,101066
10/31/2001,101344
11/30/2001,101773
12/31/2001,102261
1/31/2002,102692
2/28/2002,103129
3/31/2002,103592
4/30/2002,103042
5/31/2002,102475
6/30/2002,102006
7/31/2002,102591
8/31/2002,103335
9/30/2002,104007
10/31/2002,104708
11/30/2002,105380
12/31/2002,106150
1/31/2003,107171
2/28/2003,108043
3/31/2003,108997
4/30/2003,109862
5/31/2003,110912
6/30/2003,112165
7/31/2003,113617
8/31/2003,115240
9/30/2003,116786
10/31/2003,118518
11/30/2003,120362
12/31/2003,122416
1/31/2004,124193
2/29/2004,126102
3/31/2004,128002
4/30/2004,129932
5/31/2004,131952
6/30/2004,134412
7/31/2004,138076
8/31/2004,141284
9/30/2004,144336
10/31/2004,147748
11/30/2004,151586
12/31/2004,155351
1/31/2005,158882
2/28/2005,161913
3/31/2005,164968
4/30/2005,169017
5/31/2005,174104
6/30/2005,179815
7/31/2005,183203
8/31/2005,187308
9/30/2005,190209
10/31/2005,194101
11/30/2005,197403
12/31/2005,200790
1/31/2006,203801
2/28/2006,206562
3/31/2006,209200
4/30/2006,212365
5/31/2006,214683
6/30/2006,217000
7/31/2006,217735
8/31/2006,217584
9/30/2006,217895
10/31/2006,218412
11/30/2006,218921
12/31/2006,218394
1/31/2007,217364
2/28/2007,217027
3/31/2007,217248
4/30/2007,217675
5/31/2007,217251
6/30/2007,215822
7/31/2007,213465
8/31/2007,211885
9/30/2007,210256
10/31/2007,209270
11/30/2007,206846
12/31/2007,204919
1/31/2008,203281
2/29/2008,201654
3/31/2008,199061
4/30/2008,195129
5/31/2008,191494
6/30/2008,187823
7/31/2008,184179
8/31/2008,180555
9/30/2008,179592
10/31/2008,178772
11/30/2008,177750
12/31/2008,174580
1/31/2009,172062
2/28/2009,169807
3/31/2009,167729
4/30/2009,164613
5/31/2009,162149
6/30/2009,160012
7/31/2009,159432
8/31/2009,158885
9/30/2009,158284
10/31/2009,156977
11/30/2009,155509
12/31/2009,157327
1/31/2010,159910
2/28/2010,163807
3/31/2010,164175
4/30/2010,164856
5/31/2010,165864
6/30/2010,165951
7/31/2010,164360
8/31/2010,161368
9/30/2010,159588
10/31/2010,158475
11/30/2010,155889
12/31/2010,152310
1/31/2011,149286
2/28/2011,147287
3/31/2011,146805
4/30/2011,144672
5/31/2011,140837
6/30/2011,136060
7/31/2011,134590
8/31/2011,136615
9/30/2011,138325
10/31/2011,138675
11/30/2011,137340
12/31/2011,136334
1/31/2012,135990
2/29/2012,134787
3/31/2012,135678
4/30/2012,136992
5/31/2012,141308
6/30/2012,144784
7/31/2012,145389
8/31/2012,143857
9/30/2012,141889
10/31/2012,141540
11/30/2012,141928
12/31/2012,144566
1/31/2013,145720
2/28/2013,147625
3/31/2013,146949
4/30/2013,147486
5/31/2013,147390
6/30/2013,149047
7/31/2013,152230
8/31/2013,156961
9/30/2013,161116
10/31/2013,164963
11/30/2013,167874
12/31/2013,169288
1/31/2014,169047
2/28/2014,168405
3/31/2014,168192
4/30/2014,169999
5/31/2014,172758
6/30/2014,176448
7/31/2014,178777
8/31/2014,178698
9/30/2014,178410
10/31/2014,178147
11/30/2014,179903
12/31/2014,177701
1/31/2015,177567
2/28/2015,177984
3/31/2015,181960
4/30/2015,184389
5/31/2015,185007
6/30/2015,185537
7/31/2015,185293
8/31/2015,185757
9/30/2015,185725
10/31/2015,186461
11/30/2015,187717
12/31/2015,189027
1/31/2016,190535
2/29/2016,191580
3/31/2016,193562
4/30/2016,194932
5/31/2016,195493
6/30/2016,196223
7/31/2016,196791
8/31/2016,197725
9/30/2016,198283
10/31/2016,200113
11/30/2016,202633
12/31/2016,205637
1/31/2017,206774
2/28/2017,207099
3/31/2017,207037
4/30/2017,209058
5/31/2017,211392
6/30/2017,213235
7/31/2017,213337
8/31/2017,212902
9/30/2017,212562
10/31/2017,213667
11/30/2017,215472
12/31/2017,217008
1/31/2018,216661
2/28/2018,216051
3/31/2018,216157
4/30/2018,217008
5/31/2018,218481
6/30/2018,220182
7/31/2018,221997
8/31/2018,223392
9/30/2018,224356
10/31/2018,225315
11/30/2018,226958
12/31/2018,228642
1/31/2019,230890
2/28/2019,231475
3/31/2019,231258
4/30/2019,231220
5/31/2019,231868
6/30/2019,232457
7/31/2019,231778
8/31/2019,231003
9/30/2019,230666
10/31/2019,231384
11/30/2019,232749
12/31/2019,235340
1/31/2020,237538
2/29/2020,239959
3/31/2020,241866
4/30/2020,244512
5/31/2020,245599
6/30/2020,246271
7/31/2020,247677
8/31/2020,251401
9/30/2020,255300
10/31/2020,258642
11/30/2020,260903
12/31/2020,263731
1/31/2021,267689
2/28/2021,271339
3/31/2021,274088
4/30/2021,275877
5/31/2021,278331
6/30/2021,282769
7/31/2021,288200
8/31/2021,293281
9/30/2021,298401
10/31/2021,301994
11/30/2021,306054
12/31/2021,310150
1/31/2022,314683
2/28/2022,319627
3/31/2022,324745
4/30/2022,330895
