Dates,Santa Cruz County
1/31/2000,352881
2/29/2000,354852
3/31/2000,357736
4/30/2000,363779
5/31/2000,370354
6/30/2000,377155
7/31/2000,384136
8/31/2000,391877
9/30/2000,399879
10/31/2000,407986
11/30/2000,416898
12/31/2000,426443
1/31/2001,436453
2/28/2001,445875
3/31/2001,455412
4/30/2001,464755
5/31/2001,472611
6/30/2001,478764
7/31/2001,484307
8/31/2001,490332
9/30/2001,495527
10/31/2001,498835
11/30/2001,500654
12/31/2001,501001
1/31/2002,497369
2/28/2002,494679
3/31/2002,492201
4/30/2002,494051
5/31/2002,496035
6/30/2002,500846
7/31/2002,507476
8/31/2002,513853
9/30/2002,518380
10/31/2002,520673
11/30/2002,523525
12/31/2002,526487
1/31/2003,530220
2/28/2003,533063
3/31/2003,538816
4/30/2003,543013
5/31/2003,546488
6/30/2003,547657
7/31/2003,549474
8/31/2003,552165
9/30/2003,555036
10/31/2003,558331
11/30/2003,560639
12/31/2003,562851
1/31/2004,566946
2/29/2004,573922
3/31/2004,580508
4/30/2004,590078
5/31/2004,601457
6/30/2004,613569
7/31/2004,621007
8/31/2004,625770
9/30/2004,634961
10/31/2004,646864
11/30/2004,660694
12/31/2004,671985
1/31/2005,682284
2/28/2005,688743
3/31/2005,697707
4/30/2005,709863
5/31/2005,722064
6/30/2005,734298
7/31/2005,743812
8/31/2005,756376
9/30/2005,765753
10/31/2005,774329
11/30/2005,779972
12/31/2005,781997
1/31/2006,789742
2/28/2006,796607
3/31/2006,802837
4/30/2006,799039
5/31/2006,796200
6/30/2006,786845
7/31/2006,781327
8/31/2006,776933
9/30/2006,776150
10/31/2006,773713
11/30/2006,767057
12/31/2006,763051
1/31/2007,753050
2/28/2007,749528
3/31/2007,751884
4/30/2007,756732
5/31/2007,760695
6/30/2007,759091
7/31/2007,759393
8/31/2007,754949
9/30/2007,752186
10/31/2007,748395
11/30/2007,750725
12/31/2007,748594
1/31/2008,749173
2/29/2008,735587
3/31/2008,719376
4/30/2008,701976
5/31/2008,686050
6/30/2008,675110
7/31/2008,664457
8/31/2008,661624
9/30/2008,654905
10/31/2008,643534
11/30/2008,624143
12/31/2008,606849
1/31/2009,596480
2/28/2009,594867
3/31/2009,591509
4/30/2009,582959
5/31/2009,577840
6/30/2009,573934
7/31/2009,573173
8/31/2009,564235
9/30/2009,557967
10/31/2009,551702
11/30/2009,552709
12/31/2009,555681
1/31/2010,558580
2/28/2010,559369
3/31/2010,562821
4/30/2010,569416
5/31/2010,572030
6/30/2010,574345
7/31/2010,572306
8/31/2010,568951
9/30/2010,559617
10/31/2010,552504
11/30/2010,546788
12/31/2010,545483
1/31/2011,541112
2/28/2011,539131
3/31/2011,533682
4/30/2011,527806
5/31/2011,521552
6/30/2011,516423
7/31/2011,510720
8/31/2011,509215
9/30/2011,509515
10/31/2011,513321
11/30/2011,510230
12/31/2011,506775
1/31/2012,502589
2/29/2012,502161
3/31/2012,501741
4/30/2012,502629
5/31/2012,507389
6/30/2012,510846
7/31/2012,516511
8/31/2012,521820
9/30/2012,523777
10/31/2012,524345
11/30/2012,528143
12/31/2012,537769
1/31/2013,544125
2/28/2013,549304
3/31/2013,558966
4/30/2013,575229
5/31/2013,588734
6/30/2013,595301
7/31/2013,599479
8/31/2013,604110
9/30/2013,613461
10/31/2013,626092
11/30/2013,637630
12/31/2013,646637
1/31/2014,655774
2/28/2014,660970
3/31/2014,663624
4/30/2014,662331
5/31/2014,661809
6/30/2014,666695
7/31/2014,669997
8/31/2014,668936
9/30/2014,665682
10/31/2014,667523
11/30/2014,677957
12/31/2014,689909
1/31/2015,696088
2/28/2015,696156
3/31/2015,697207
4/30/2015,696386
5/31/2015,701965
6/30/2015,702873
7/31/2015,706227
8/31/2015,711543
9/30/2015,720727
10/31/2015,728430
11/30/2015,730469
12/31/2015,730542
1/31/2016,737536
2/29/2016,753471
3/31/2016,764932
4/30/2016,773567
5/31/2016,772631
6/30/2016,775387
7/31/2016,770889
8/31/2016,770303
9/30/2016,770232
10/31/2016,776578
11/30/2016,783756
12/31/2016,790602
1/31/2017,796381
2/28/2017,799836
3/31/2017,798305
4/30/2017,798629
5/31/2017,797833
6/30/2017,804052
7/31/2017,806539
8/31/2017,811481
9/30/2017,819044
10/31/2017,827213
11/30/2017,835318
12/31/2017,841071
1/31/2018,849255
2/28/2018,857326
3/31/2018,868323
4/30/2018,876966
5/31/2018,887337
6/30/2018,890839
7/31/2018,890158
8/31/2018,886261
9/30/2018,880632
10/31/2018,879622
11/30/2018,879861
12/31/2018,884053
1/31/2019,882916
2/28/2019,887214
3/31/2019,885004
4/30/2019,889136
5/31/2019,884904
6/30/2019,884474
7/31/2019,880700
8/31/2019,874999
9/30/2019,873172
10/31/2019,873942
11/30/2019,873932
12/31/2019,872617
1/31/2020,872122
2/29/2020,879617
3/31/2020,888161
4/30/2020,893184
5/31/2020,890945
6/30/2020,886759
7/31/2020,890047
8/31/2020,905298
9/30/2020,922121
10/31/2020,937754
11/30/2020,950499
12/31/2020,962944
1/31/2021,974168
2/28/2021,979830
3/31/2021,992221
4/30/2021,1013399
5/31/2021,1047344
6/30/2021,1083802
7/31/2021,1113216
8/31/2021,1134289
9/30/2021,1143833
10/31/2021,1151012
11/30/2021,1162354
12/31/2021,1173679
1/31/2022,1193707
2/28/2022,1228141
3/31/2022,1274175
4/30/2022,1316889
