Dates,Alameda County
1/31/2000,293203
2/29/2000,294671
3/31/2000,296953
4/30/2000,305678
5/31/2000,317539
6/30/2000,326714
7/31/2000,334255
8/31/2000,338603
9/30/2000,346200
10/31/2000,351968
11/30/2000,358500
12/31/2000,364909
1/31/2001,368206
2/28/2001,371810
3/31/2001,378374
4/30/2001,387441
5/31/2001,395661
6/30/2001,400400
7/31/2001,404691
8/31/2001,408430
9/30/2001,411056
10/31/2001,411914
11/30/2001,412944
12/31/2001,412030
1/31/2002,410195
2/28/2002,408232
3/31/2002,408000
4/30/2002,410769
5/31/2002,413750
6/30/2002,419014
7/31/2002,423986
8/31/2002,429468
9/30/2002,433481
10/31/2002,436666
11/30/2002,439988
12/31/2002,442802
1/31/2003,445287
2/28/2003,448105
3/31/2003,451302
4/30/2003,454626
5/31/2003,455699
6/30/2003,456858
7/31/2003,458578
8/31/2003,460766
9/30/2003,462094
10/31/2003,464010
11/30/2003,468862
12/31/2003,474102
1/31/2004,480638
2/29/2004,485140
3/31/2004,492826
4/30/2004,499310
5/31/2004,507966
6/30/2004,515547
7/31/2004,524505
8/31/2004,532849
9/30/2004,542115
10/31/2004,549921
11/30/2004,558982
12/31/2004,568640
1/31/2005,579691
2/28/2005,590598
3/31/2005,600593
4/30/2005,611415
5/31/2005,621613
6/30/2005,631324
7/31/2005,638292
8/31/2005,645995
9/30/2005,651606
10/31/2005,658283
11/30/2005,660593
12/31/2005,663807
1/31/2006,665915
2/28/2006,671497
3/31/2006,675813
4/30/2006,676825
5/31/2006,674786
6/30/2006,673303
7/31/2006,672975
8/31/2006,674397
9/30/2006,672005
10/31/2006,669571
11/30/2006,665740
12/31/2006,663595
1/31/2007,665966
2/28/2007,663954
3/31/2007,663718
4/30/2007,659688
5/31/2007,655246
6/30/2007,649854
7/31/2007,646598
8/31/2007,643207
9/30/2007,638585
10/31/2007,626491
11/30/2007,618614
12/31/2007,608249
1/31/2008,608654
2/29/2008,607169
3/31/2008,603848
4/30/2008,593633
5/31/2008,583285
6/30/2008,575001
7/31/2008,565979
8/31/2008,554789
9/30/2008,541856
10/31/2008,530416
11/30/2008,519568
12/31/2008,513656
1/31/2009,498344
2/28/2009,490271
3/31/2009,480843
4/30/2009,479210
5/31/2009,472630
6/30/2009,472514
7/31/2009,469936
8/31/2009,465588
9/30/2009,458984
10/31/2009,459931
11/30/2009,466422
12/31/2009,472077
1/31/2010,477817
2/28/2010,480342
3/31/2010,482546
4/30/2010,481846
5/31/2010,484054
6/30/2010,483168
7/31/2010,480440
8/31/2010,474403
9/30/2010,469905
10/31/2010,466697
11/30/2010,464924
12/31/2010,461444
1/31/2011,458726
2/28/2011,454660
3/31/2011,451543
4/30/2011,446394
5/31/2011,440337
6/30/2011,433665
7/31/2011,432259
8/31/2011,430540
9/30/2011,431171
10/31/2011,427707
11/30/2011,425158
12/31/2011,422979
1/31/2012,420159
2/29/2012,417504
3/31/2012,414415
4/30/2012,415740
5/31/2012,420531
6/30/2012,427651
7/31/2012,429080
8/31/2012,432799
9/30/2012,435265
10/31/2012,444484
11/30/2012,454492
12/31/2012,467356
1/31/2013,479831
2/28/2013,489579
3/31/2013,501136
4/30/2013,514633
