Dates,Contra Costa County
1/31/2000,326309
2/29/2000,327503
3/31/2000,329254
4/30/2000,333091
5/31/2000,337419
6/30/2000,341914
7/31/2000,345597
8/31/2000,349891
9/30/2000,354646
10/31/2000,360274
11/30/2000,365975
12/31/2000,371451
1/31/2001,375910
2/28/2001,380332
3/31/2001,384848
4/30/2001,390541
5/31/2001,394997
6/30/2001,398932
7/31/2001,401362
8/31/2001,403938
9/30/2001,406373
10/31/2001,409713
11/30/2001,413856
12/31/2001,417925
1/31/2002,421239
2/28/2002,425139
3/31/2002,429449
4/30/2002,434834
5/31/2002,439582
6/30/2002,444822
7/31/2002,449723
8/31/2002,454479
9/30/2002,459229
10/31/2002,464733
11/30/2002,469673
12/31/2002,474189
1/31/2003,477340
2/28/2003,480970
3/31/2003,484575
4/30/2003,488921
5/31/2003,494165
6/30/2003,499426
7/31/2003,504475
8/31/2003,512371
9/30/2003,521665
10/31/2003,533580
11/30/2003,539783
12/31/2003,545874
1/31/2004,549705
2/29/2004,560454
3/31/2004,572186
4/30/2004,585855
5/31/2004,595546
6/30/2004,607065
7/31/2004,617532
8/31/2004,629407
9/30/2004,639148
10/31/2004,648829
11/30/2004,659093
12/31/2004,668619
1/31/2005,678356
2/28/2005,690175
3/31/2005,703407
4/30/2005,719009
5/31/2005,731083
6/30/2005,742423
7/31/2005,751942
8/31/2005,762119
9/30/2005,773086
10/31/2005,785092
11/30/2005,793910
12/31/2005,800793
1/31/2006,804976
2/28/2006,808748
3/31/2006,811146
4/30/2006,811762
5/31/2006,810719
6/30/2006,807408
7/31/2006,802414
8/31/2006,796845
9/30/2006,790419
10/31/2006,784226
11/30/2006,
12/31/2006,808454
1/31/2007,821275
2/28/2007,
3/31/2007,771233
4/30/2007,745577
5/31/2007,736140
6/30/2007,725603
7/31/2007,714221
8/31/2007,706446
9/30/2007,698618
10/31/2007,690228
11/30/2007,677896
12/31/2007,663249
1/31/2008,648689
2/29/2008,627933
3/31/2008,612193
4/30/2008,593012
5/31/2008,582502
6/30/2008,571225
7/31/2008,558933
8/31/2008,547468
9/30/2008,527135
10/31/2008,512560
11/30/2008,495558
12/31/2008,484416
1/31/2009,463306
2/28/2009,445496
3/31/2009,425935
4/30/2009,416782
5/31/2009,410201
6/30/2009,409217
7/31/2009,400577
8/31/2009,394231
9/30/2009,385767
10/31/2009,387091
11/30/2009,385370
12/31/2009,386200
1/31/2010,388255
2/28/2010,386339
3/31/2010,385971
4/30/2010,385957
5/31/2010,388915
6/30/2010,389988
7/31/2010,388883
8/31/2010,387130
9/30/2010,381977
10/31/2010,375638
11/30/2010,369038
12/31/2010,366552
1/31/2011,361949
2/28/2011,359999
3/31/2011,357658
4/30/2011,359044
5/31/2011,359835
6/30/2011,358065
7/31/2011,353930
8/31/2011,346503
9/30/2011,339501
10/31/2011,334622
11/30/2011,335237
12/31/2011,338084
1/31/2012,342382
2/29/2012,345751
3/31/2012,350860
4/30/2012,353780
5/31/2012,357454
6/30/2012,358135
7/31/2012,363108
8/31/2012,365628
9/30/2012,368521
10/31/2012,370845
11/30/2012,373943
12/31/2012,378539
1/31/2013,381065
2/28/2013,387396
3/31/2013,395899
4/30/2013,407638
5/31/2013,419787
6/30/2013,432245
7/31/2013,440109
8/31/2013,448830
9/30/2013,455472
10/31/2013,463811
11/30/2013,472332
12/31/2013,480262
1/31/2014,494813
2/28/2014,509239
3/31/2014,520374
4/30/2014,524255
5/31/2014,524730
6/30/2014,528192
7/31/2014,524152
8/31/2014,517706
9/30/2014,513538
10/31/2014,517999
11/30/2014,523457
12/31/2014,529848
1/31/2015,534372
2/28/2015,540236
3/31/2015,545510
4/30/2015,550967
5/31/2015,554355
6/30/2015,555245
7/31/2015,553742
8/31/2015,555668
9/30/2015,560946
10/31/2015,568918
11/30/2015,575376
12/31/2015,578512
1/31/2016,590524
2/29/2016,599347
3/31/2016,609023
4/30/2016,610537
5/31/2016,612415
6/30/2016,614650
7/31/2016,613740
8/31/2016,615414
9/30/2016,618338
10/31/2016,624106
11/30/2016,628293
12/31/2016,631214
1/31/2017,632789
2/28/2017,638258
3/31/2017,642036
4/30/2017,646992
5/31/2017,649949
6/30/2017,650442
7/31/2017,651905
8/31/2017,654002
9/30/2017,661417
10/31/2017,666738
11/30/2017,672376
12/31/2017,676220
1/31/2018,682066
2/28/2018,688500
3/31/2018,692103
4/30/2018,692833
5/31/2018,695350
6/30/2018,700051
7/31/2018,704702
8/31/2018,704854
9/30/2018,709030
10/31/2018,713955
11/30/2018,716526
12/31/2018,714767
1/31/2019,712287
2/28/2019,708828
3/31/2019,704407
4/30/2019,701633
5/31/2019,701084
6/30/2019,699996
7/31/2019,700369
8/31/2019,700408
9/30/2019,700851
10/31/2019,702372
11/30/2019,705075
12/31/2019,709153
1/31/2020,705470
2/29/2020,702865
3/31/2020,701033
4/30/2020,704105
5/31/2020,700136
6/30/2020,697049
7/31/2020,702989
8/31/2020,718017
9/30/2020,736441
10/31/2020,747930
11/30/2020,757515
12/31/2020,765187
1/31/2021,772619
2/28/2021,782220
3/31/2021,790232
4/30/2021,803397
5/31/2021,826632
6/30/2021,853384
7/31/2021,886165
8/31/2021,903553
9/30/2021,914326
10/31/2021,914420
11/30/2021,919877
12/31/2021,929241
1/31/2022,942453
2/28/2022,952414
3/31/2022,970285
4/30/2022,987242
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
