Dates,Napa County,Humboldt County,Nevada County,Sutter County,Mendocino County,Yuba County,Lake County,Tehama County,Tuolumne County,San Benito County,Calaveras County,Siskiyou County,Amador County,Lassen County,Del Norte County,Glenn County,Colusa County,Plumas County,Inyo County,Mariposa County,Mono County,Trinity County,Modoc County,Sierra County,Alpine County
1/31/2000,248366,,,,,,,,,,,,,,,,,,,,,,,,
2/29/2000,249458,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2000,251439,,,,,,,,,,,,,,,,,,,,,,,,
4/30/2000,255254,,,,,,,,,,,,,,,,,,,,,,,,
5/31/2000,259664,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2000,263984,,,,,,,,,,,,,,,,,,,,,,,,
7/31/2000,268915,,,,,,,,,,,,,,,,,,,,,,,,
8/31/2000,273972,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2000,279035,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2000,283715,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2000,288650,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2000,293799,,,,,,,,,,,,,,,,,,,,,,,,
1/31/2001,299097,135377,232070,,,,,,,,,,,,,,,,,,,,,,
2/28/2001,304132,136206,233313,,,,,,,,,,,,,,,,,,,,,,
3/31/2001,309371,136377,236772,,,,,,,,,,,,,,,,,,,,,,
4/30/2001,314650,137197,242136,,,,,,,,,,,,,,,,,,,,,,
5/31/2001,319506,137699,247216,,,,,,,,,,,,,,,,,,,,,,
6/30/2001,323716,137640,250080,,,,,,,,,,,,,,,,,,,,,,
7/31/2001,326851,137430,252336,,,,,,,,,,,,,,,,,,,,,,
8/31/2001,329923,137411,254930,,,,,,,,,,,,,,,,,,,,,,
9/30/2001,332693,138673,257138,,,,,,,,,,,,,,,,,,,,,,
10/31/2001,335508,140071,259785,,,,,,,,,,,,,,,,,,,,,,
11/30/2001,338624,141324,262259,,,,,,,,,,,,,,,,,,,,,,
12/31/2001,341220,142370,265022,,,,,,,,,,,,,,,,,,,,,,
1/31/2002,344048,143612,266968,,,,,,,,,,,,,,,,,,,,,,
2/28/2002,346909,145042,269151,,,,,,,,,,,,,,,,,,,,,,
3/31/2002,350827,146185,271203,,,,,,,,,,,,,,,,,,,,,,
4/30/2002,354323,147345,273218,,,,,,,,,,,,,,,,,,,,,,
5/31/2002,357379,148194,275273,,,,,,,,,,,,,,,,,,,,,,
6/30/2002,360519,149710,277447,,,,,,,,,,,,,,,,,,,,,,
7/31/2002,364119,151769,279719,,,,,,,,,,,,,,,,,,,,,,
8/31/2002,368668,154453,281922,,,,,,,,,,,,,,,,,,,,,,
9/30/2002,372809,156914,284360,,,,,,,,,,,,,,,,,,,,,,
10/31/2002,377228,158886,286936,,,,,,,,,,,,,,,,,,,,,,
11/30/2002,381804,160946,290029,,,,,,,,,,,,,,,,,,,,,,
12/31/2002,386687,163801,294400,,,,,,,,,,,,,,,,,,,,,,
1/31/2003,391867,167516,298085,,238756,,,,,439087,,,,,,,,,,,,,,,
2/28/2003,396700,171964,301392,,239361,,,,,441170,,,,,,,,,,,,,,,
3/31/2003,402103,174223,303340,,240742,,,,,442077,,,,,,,,,,,,,,,
4/30/2003,407237,176170,306288,,242862,,,,,444306,,,,,,,,,,,,,,,
5/31/2003,412196,177573,308707,,246090,,,,,447248,,,,,,,,,,,,,,,
6/30/2003,416540,181371,310886,,248844,,,,,450609,,,,,,,,,,,,,,,
7/31/2003,421362,184625,312785,,251994,,,,,454651,,,,,,,,,,,,,,,
8/31/2003,427746,188541,315400,,256190,,,,,460778,,,,,,,,,,,,,,,
9/30/2003,436165,192385,318321,,261136,,,,,468617,,,,,,,,,,,,,,,
10/31/2003,444345,196534,321664,,267076,,,,,478141,,,,,,,,,,,,,,,
11/30/2003,449971,199201,324805,,270283,,,,,482088,,,,,,,,,,,,,,,
12/31/2003,453654,201016,327274,,273200,,,,,485962,,,,,,,,,,,,,,,
1/31/2004,457091,202260,330154,194334,275531,,,,,488346,,,,,,,,,,,,,,,
2/29/2004,463576,205012,333020,197386,280967,,,,,497398,,,,,,,,,,,,,,,
